cellId,cellIx,cellIy,zone,Nfluid,Mfluid,Nlatent,Ninactive
173,13,6,background,20,20,0,0
174,14,6,background,20,20,0,0
175,15,6,background,20,20,0,0
176,16,6,background,20,20,0,0
177,17,6,background,20,20,0,0
178,18,6,background,20,20,0,0
179,19,6,background,20,20,0,0
180,20,6,background,20,20,0,0
181,21,6,background,20,20,0,0
182,22,6,background,20,20,0,0
183,23,6,background,20,20,0,0
184,24,6,background,20,20,0,0
185,25,6,background,20,20,0,0
186,26,6,background,20,20,0,0
187,27,6,background,20,20,0,0
188,28,6,background,20,20,0,0
189,29,6,background,20,20,0,0
190,30,6,background,20,20,0,0
191,31,6,background,20,20,0,0
192,32,6,background,20,20,0,0
193,1,7,background,20,20,0,0
194,2,7,background,20,20,0,0
195,3,7,background,20,20,0,0
196,4,7,background,20,20,0,0
197,5,7,background,20,20,0,0
198,6,7,background,20,20,0,0
199,7,7,void,0,0,0,0
200,8,7,void,0,0,0,0
201,9,7,void,0,0,0,0
202,10,7,background,20,20,0,0
203,11,7,background,20,20,0,0
204,12,7,background,20,20,0,0
205,13,7,background,20,20,0,0
206,14,7,background,20,20,0,0
207,15,7,background,20,20,0,0
208,16,7,background,20,20,0,0
209,17,7,background,20,20,0,0
210,18,7,background,20,20,0,0
211,19,7,background,20,20,0,0
212,20,7,background,20,20,0,0
213,21,7,background,20,20,0,0
214,22,7,background,20,20,0,0
215,23,7,background,20,20,0,0
216,24,7,background,20,20,0,0
217,25,7,background,20,20,0,0
218,26,7,background,20,20,0,0
219,27,7,background,20,20,0,0
220,28,7,background,20,20,0,0
221,29,7,background,20,20,0,0
222,30,7,background,20,20,0,0
223,31,7,background,20,20,0,0
224,32,7,background,20,20,0,0
225,1,8,background,20,20,0,0
226,2,8,background,20,20,0,0
227,3,8,background,20,20,0,0
228,4,8,background,20,20,0,0
229,5,8,background,20,20,0,0
230,6,8,background,20,20,0,0
231,7,8,void,0,0,0,0
232,8,8,void,0,0,0,0
233,9,8,void,0,0,0,0
234,10,8,background,20,20,0,0
235,11,8,background,20,20,0,0
236,12,8,background,20,20,0,0
237,13,8,background,20,20,0,0
238,14,8,background,20,20,0,0
239,15,8,background,20,20,0,0
240,16,8,background,20,20,0,0
241,17,8,background,20,20,0,0
242,18,8,background,20,20,0,0
243,19,8,background,20,20,0,0
244,20,8,background,20,20,0,0
245,21,8,background,20,20,0,0
246,22,8,background,20,20,0,0
247,23,8,background,20,20,0,0
248,24,8,background,20,20,0,0
249,25,8,background,20,20,0,0
250,26,8,background,20,20,0,0
251,27,8,background,20,20,0,0
252,28,8,background,20,20,0,0
253,29,8,background,20,20,0,0
254,30,8,background,20,20,0,0
255,31,8,background,20,20,0,0
256,32,8,background,20,20,0,0
257,1,9,background,20,20,0,0
258,2,9,background,20,20,0,0
259,3,9,background,20,20,0,0
260,4,9,background,20,20,0,0
261,5,9,background,20,20,0,0
262,6,9,background,20,20,0,0
263,7,9,void,0,0,0,0
264,8,9,void,0,0,0,0
265,9,9,void,0,0,0,0
266,10,9,background,20,20,0,0
267,11,9,background,20,20,0,0
268,12,9,background,20,20,0,0
269,13,9,background,20,20,0,0
270,14,9,background,20,20,0,0
271,15,9,background,20,20,0,0
272,16,9,background,20,20,0,0
273,17,9,background,20,20,0,0
274,18,9,background,20,20,0,0
275,19,9,background,20,20,0,0
276,20,9,background,20,20,0,0
277,21,9,background,20,20,0,0
278,22,9,background,20,20,0,0
279,23,9,background,20,20,0,0
280,24,9,background,20,20,0,0
281,25,9,background,20,20,0,0
282,26,9,background,20,20,0,0
283,27,9,background,20,20,0,0
284,28,9,background,20,20,0,0
285,29,9,background,20,20,0,0
286,30,9,background,20,20,0,0
287,31,9,background,20,20,0,0
288,32,9,background,20,20,0,0
289,1,10,background,20,20,0,0
290,2,10,background,20,20,0,0
291,3,10,background,20,20,0,0
292,4,10,background,20,20,0,0
293,5,10,background,20,20,0,0
294,6,10,background,20,20,0,0
295,7,10,background,20,20,0,0
296,8,10,background,20,20,0,0
297,9,10,background,20,20,0,0
298,10,10,background,20,20,0,0
299,11,10,background,20,20,0,0
300,12,10,background,20,20,0,0
301,13,10,background,20,20,0,0
302,14,10,background,20,20,0,0
303,15,10,background,20,20,0,0
304,16,10,background,20,20,0,0
305,17,10,background,20,20,0,0
306,18,10,background,20,20,0,0
307,19,10,background,20,20,0,0
308,20,10,background,20,20,0,0
309,21,10,background,20,20,0,0
310,22,10,background,20,20,0,0
311,23,10,background,20,20,0,0
312,24,10,background,20,20,0,0
313,25,10,background,20,20,0,0
314,26,10,background,20,20,0,0
315,27,10,background,20,20,0,0
316,28,10,background,20,20,0,0
317,29,10,background,20,20,0,0
318,30,10,background,20,20,0,0
319,31,10,background,20,20,0,0
320,32,10,background,20,20,0,0
321,1,11,background,20,20,0,0
322,2,11,background,20,20,0,0
323,3,11,background,20,20,0,0
324,4,11,background,20,20,0,0
325,5,11,background,20,20,0,0
326,6,11,background,20,20,0,0
327,7,11,background,20,20,0,0
328,8,11,background,20,20,0,0
329,9,11,background,20,20,0,0
330,10,11,background,20,20,0,0
331,11,11,background,20,20,0,0
332,12,11,background,20,20,0,0
333,13,11,background,20,20,0,0
334,14,11,background,20,20,0,0
335,15,11,background,20,20,0,0
336,16,11,background,20,20,0,0
337,17,11,background,20,20,0,0
338,18,11,background,20,20,0,0
339,19,11,background,20,20,0,0
340,20,11,background,20,20,0,0
341,21,11,background,20,20,0,0
342,22,11,background,20,20,0,0
343,23,11,background,20,20,0,0
344,24,11,background,20,20,0,0
345,25,11,background,20,20,0,0
346,26,11,background,20,20,0,0
347,27,11,background,20,20,0,0
348,28,11,background,20,20,0,0
349,29,11,background,20,20,0,0
350,30,11,background,20,20,0,0
351,31,11,background,20,20,0,0
352,32,11,background,20,20,0,0
353,1,12,background,20,20,0,0
354,2,12,background,20,20,0,0
355,3,12,background,20,20,0,0
356,4,12,background,20,20,0,0
357,5,12,background,20,20,0,0
358,6,12,background,20,20,0,0
359,7,12,background,20,20,0,0
360,8,12,background,20,20,0,0
361,9,12,background,20,20,0,0
362,10,12,background,20,20,0,0
363,11,12,background,20,20,0,0
364,12,12,background,20,20,0,0
365,13,12,background,20,20,0,0
366,14,12,background,20,20,0,0
367,15,12,background,20,20,0,0
368,16,12,background,20,20,0,0
369,17,12,background,20,20,0,0
370,18,12,background,20,20,0,0
371,19,12,background,20,20,0,0
372,20,12,background,20,20,0,0
373,21,12,background,20,20,0,0
374,22,12,background,20,20,0,0
375,23,12,background,20,20,0,0
376,24,12,background,20,20,0,0
377,25,12,background,20,20,0,0
378,26,12,background,20,20,0,0
379,27,12,background,20,20,0,0
380,28,12,background,20,20,0,0
381,29,12,background,20,20,0,0
382,30,12,background,20,20,0,0
383,31,12,background,20,20,0,0
384,32,12,background,20,20,0,0
385,1,13,background,20,20,0,0
386,2,13,background,20,20,0,0
387,3,13,background,20,20,0,0
388,4,13,background,20,20,0,0
389,5,13,background,20,20,0,0
390,6,13,background,20,20,0,0
391,7,13,background,20,20,0,0
392,8,13,background,20,20,0,0
393,9,13,background,20,20,0,0
394,10,13,background,20,20,0,0
395,11,13,background,20,20,0,0
396,12,13,background,20,20,0,0
397,13,13,background,20,20,0,0
398,14,13,background,20,20,0,0
399,15,13,background,20,20,0,0
400,16,13,background,20,20,0,0
401,17,13,background,20,20,0,0
402,18,13,background,20,20,0,0
403,19,13,background,20,20,0,0
404,20,13,background,20,20,0,0
405,21,13,background,20,20,0,0
406,22,13,background,20,20,0,0
407,23,13,background,20,20,0,0
408,24,13,background,20,20,0,0
409,25,13,background,20,20,0,0
410,26,13,background,20,20,0,0
411,27,13,background,20,20,0,0
412,28,13,background,20,20,0,0
413,29,13,background,20,20,0,0
414,30,13,background,20,20,0,0
415,31,13,background,20,20,0,0
416,32,13,background,20,20,0,0
417,1,14,background,20,20,0,0
418,2,14,background,20,20,0,0
419,3,14,background,20,20,0,0
420,4,14,background,20,20,0,0
421,5,14,background,20,20,0,0
422,6,14,background,20,20,0,0
423,7,14,background,20,20,0,0
424,8,14,background,20,20,0,0
425,9,14,background,20,20,0,0
426,10,14,background,20,20,0,0
427,11,14,background,20,20,0,0
428,12,14,background,20,20,0,0
429,13,14,background,20,20,0,0
430,14,14,background,20,20,0,0
431,15,14,background,20,20,0,0
432,16,14,background,20,20,0,0
433,17,14,background,20,20,0,0
434,18,14,background,20,20,0,0
435,19,14,background,20,20,0,0
436,20,14,background,20,20,0,0
437,21,14,background,20,20,0,0
438,22,14,background,20,20,0,0
439,23,14,background,20,20,0,0
440,24,14,background,20,20,0,0
441,25,14,background,20,20,0,0
442,26,14,background,20,20,0,0
443,27,14,background,20,20,0,0
444,28,14,background,20,20,0,0
445,29,14,background,20,20,0,0
446,30,14,background,20,20,0,0
447,31,14,background,20,20,0,0
448,32,14,background,20,20,0,0
449,1,15,background,20,20,0,0
450,2,15,background,20,20,0,0
451,3,15,background,20,20,0,0
452,4,15,background,20,20,0,0
453,5,15,background,20,20,0,0
454,6,15,background,20,20,0,0
455,7,15,background,20,20,0,0
456,8,15,background,20,20,0,0
457,9,15,background,20,20,0,0
458,10,15,background,20,20,0,0
459,11,15,background,20,20,0,0
460,12,15,background,20,20,0,0
461,13,15,background,20,20,0,0
462,14,15,background,20,20,0,0
463,15,15,background,20,20,0,0
464,16,15,background,20,20,0,0
465,17,15,background,20,20,0,0
466,18,15,background,20,20,0,0
467,19,15,background,20,20,0,0
468,20,15,background,20,20,0,0
469,21,15,background,20,20,0,0
470,22,15,background,20,20,0,0
471,23,15,background,20,20,0,0
472,24,15,background,20,20,0,0
473,25,15,background,20,20,0,0
474,26,15,background,20,20,0,0
475,27,15,background,20,20,0,0
476,28,15,background,20,20,0,0
477,29,15,background,20,20,0,0
478,30,15,background,20,20,0,0
479,31,15,background,20,20,0,0
480,32,15,background,20,20,0,0
481,1,16,background,20,20,0,0
482,2,16,background,20,20,0,0
483,3,16,background,20,20,0,0
484,4,16,background,20,20,0,0
485,5,16,background,20,20,0,0
486,6,16,background,20,20,0,0
487,7,16,background,20,20,0,0
488,8,16,background,20,20,0,0
489,9,16,background,20,20,0,0
490,10,16,background,20,20,0,0
491,11,16,background,20,20,0,0
492,12,16,background,20,20,0,0
493,13,16,background,20,20,0,0
494,14,16,background,20,20,0,0
495,15,16,background,20,20,0,0
496,16,16,background,20,20,0,0
497,17,16,background,20,20,0,0
498,18,16,background,20,20,0,0
499,19,16,background,20,20,0,0
500,20,16,background,20,20,0,0
501,21,16,background,20,20,0,0
502,22,16,background,20,20,0,0
503,23,16,background,20,20,0,0
504,24,16,background,20,20,0,0
505,25,16,background,20,20,0,0
506,26,16,background,20,20,0,0
507,27,16,background,20,20,0,0
508,28,16,background,20,20,0,0
509,29,16,background,20,20,0,0
510,30,16,background,20,20,0,0
511,31,16,background,20,20,0,0
512,32,16,background,20,20,0,0
513,1,17,background,20,20,0,0
514,2,17,background,20,20,0,0
515,3,17,background,20,20,0,0
516,4,17,background,20,20,0,0
517,5,17,background,20,20,0,0
