cell,ix,iy,xc,yc,isFluidCell,nFluid,mass,distanceToCylinder
1,1,1,0.0104166666666667,0.0104166666666667,1,24,24,0.685455573297221
2,2,1,0.03125,0.0104166666666667,1,23,23,0.669014196816368
3,3,1,0.0520833333333333,0.0104166666666667,1,18,18,0.652784692236819
4,4,1,0.0729166666666667,0.0104166666666667,1,21,21,0.636780690747913
5,5,1,0.09375,0.0104166666666667,1,24,24,0.621016803303257
6,6,1,0.114583333333333,0.0104166666666667,1,29,29,0.605508681700104
7,7,1,0.135416666666667,0.0104166666666667,1,14,14,0.590273079330916
8,8,1,0.15625,0.0104166666666667,1,14,14,0.5753279102537
9,9,1,0.177083333333333,0.0104166666666667,1,15,15,0.560692304855056
10,10,1,0.197916666666667,0.0104166666666667,1,23,23,0.546386659947178
11,11,1,0.21875,0.0104166666666667,1,17,17,0.532432680648186
12,12,1,0.239583333333333,0.0104166666666667,1,19,19,0.518853410850686
13,13,1,0.260416666666667,0.0104166666666667,1,20,20,0.505673248500277
14,14,1,0.28125,0.0104166666666667,1,22,22,0.492917941308441
15,15,1,0.302083333333333,0.0104166666666667,1,19,19,0.480614557950623
16,16,1,0.322916666666667,0.0104166666666667,1,22,22,0.468791429304318
17,17,1,0.34375,0.0104166666666667,1,13,13,0.457478053936059
18,18,1,0.364583333333333,0.0104166666666667,1,21,21,0.446704961941299
19,19,1,0.385416666666667,0.0104166666666667,1,12,12,0.436503531485251
20,20,1,0.40625,0.0104166666666667,1,9,9,0.426905753103565
21,21,1,0.427083333333333,0.0104166666666667,1,16,16,0.417943938115819
22,22,1,0.447916666666667,0.0104166666666667,1,20,20,0.409650369478667
23,23,1,0.46875,0.0104166666666667,1,20,20,0.402056896111696
24,24,1,0.489583333333333,0.0104166666666667,1,24,24,0.395194475147223
25,25,1,0.510416666666667,0.0104166666666667,1,13,13,0.389092670564233
26,26,1,0.53125,0.0104166666666667,1,20,20,0.383779121022078
27,27,1,0.552083333333333,0.0104166666666667,1,16,16,0.379278994039293
28,28,1,0.572916666666667,0.0104166666666667,1,24,24,0.375614447484691
29,29,1,0.59375,0.0104166666666667,1,27,27,0.372804122119304
30,30,1,0.614583333333333,0.0104166666666667,1,19,19,0.370862690123782
31,31,1,0.635416666666667,0.0104166666666667,1,14,14,0.369800483757304
32,32,1,0.65625,0.0104166666666667,1,17,17,0.369623225325125
33,33,1,0.677083333333333,0.0104166666666667,1,15,15,0.370331874572949
34,34,1,0.697916666666667,0.0104166666666667,1,23,23,0.371922602877955
35,35,1,0.71875,0.0104166666666667,1,12,12,0.374386895839461
36,36,1,0.739583333333333,0.0104166666666667,1,12,12,0.377711777928641
37,37,1,0.760416666666667,0.0104166666666667,1,23,23,0.381880145608048
38,38,1,0.78125,0.0104166666666667,1,36,36,0.38687118953219
39,39,1,0.802083333333333,0.0104166666666667,1,25,25,0.392660882607163
40,40,1,0.822916666666667,0.0104166666666667,1,25,25,0.399222509035278
41,41,1,0.84375,0.0104166666666667,1,27,27,0.406527209912059
42,42,1,0.864583333333333,0.0104166666666667,1,13,13,0.414544523143042
43,43,1,0.885416666666667,0.0104166666666667,1,19,19,0.423242898915598
44,44,1,0.90625,0.0104166666666667,1,23,23,0.432590176150262
45,45,1,0.927083333333333,0.0104166666666667,1,26,26,0.442554009752743
46,46,1,0.947916666666667,0.0104166666666667,1,18,18,0.453102242671895
47,47,1,0.96875,0.0104166666666667,1,8,8,0.464203220444545
48,48,1,0.989583333333333,0.0104166666666667,1,18,18,0.475826048906521
49,49,1,1.01041666666667,0.0104166666666667,1,19,19,0.487940798013169
50,50,1,1.03125,0.0104166666666667,1,24,24,0.500518656268913
