cell,ix,iy,xc,yc,isFluidCell,nFluid,mass,distanceToCylinder
228,36,3,0.739583333333333,0.0520833333333333,1,12,12,0.387966055843192
229,37,3,0.760416666666667,0.0520833333333333,1,17,17,0.398117921476912
230,38,3,0.78125,0.0520833333333333,1,26,26,0.408895928116088
231,39,3,0.802083333333333,0.0520833333333333,1,26,26,0.420262603328747
232,40,3,0.822916666666667,0.0520833333333333,1,20,20,0.432181595029107
233,41,3,0.84375,0.0520833333333333,1,19,19,0.444617926369485
234,42,3,0.864583333333333,0.0520833333333333,1,23,23,0.457538178151213
235,43,3,0.885416666666667,0.0520833333333333,1,30,30,0.470910608486785
236,44,3,0.90625,0.0520833333333333,1,25,25,0.4847052197375
237,45,3,0.927083333333333,0.0520833333333333,1,21,21,0.498893782396373
238,46,3,0.947916666666667,0.0520833333333333,1,10,10,0.513449824812949
239,47,3,0.96875,0.0520833333333333,1,14,14,0.52834859664981
240,48,3,0.989583333333333,0.0520833333333333,1,13,13,0.543567012859708
241,49,3,1.01041666666667,0.0520833333333333,1,18,18,0.559083583875276
242,50,3,1.03125,0.0520833333333333,1,33,33,0.574878336673247
243,51,3,1.05208333333333,0.0520833333333333,1,10,10,0.590932730447981
244,52,3,1.07291666666667,0.0520833333333333,1,21,21,0.607229569821127
245,53,3,1.09375,0.0520833333333333,1,25,25,0.623752917828077
246,54,3,1.11458333333333,0.0520833333333333,1,6,6,0.640488010351832
247,55,3,1.13541666666667,0.0520833333333333,1,30,30,0.65742117321022
248,56,3,1.15625,0.0520833333333333,1,23,23,0.674539742730203
249,57,3,1.17708333333333,0.0520833333333333,1,28,28,0.691831990349946
250,58,3,1.19791666666667,0.0520833333333333,1,18,18,0.709287051562297
251,59,3,1.21875,0.0520833333333333,1,26,26,0.726894859340743
252,60,3,1.23958333333333,0.0520833333333333,1,19,19,0.744646082060297
253,61,3,1.26041666666667,0.0520833333333333,1,12,12,0.762532065832297
254,62,3,1.28125,0.0520833333333333,1,21,21,0.780544781106291
255,63,3,1.30208333333333,0.0520833333333333,1,27,27,0.798676773347889
256,64,3,1.32291666666667,0.0520833333333333,1,15,15,0.816921117573702
257,65,3,1.34375,0.0520833333333333,1,31,31,0.835271376509198
258,66,3,1.36458333333333,0.0520833333333333,1,14,14,0.853721562129316
259,67,3,1.38541666666667,0.0520833333333333,1,26,26,0.872266100342488
260,68,3,1.40625,0.0520833333333333,1,23,23,0.8908997985843
261,69,3,1.42708333333333,0.0520833333333333,1,13,13,0.909617816095964
262,70,3,1.44791666666667,0.0520833333333333,1,22,22,0.928415636673844
263,71,3,1.46875,0.0520833333333333,1,9,9,0.947289043688624
264,72,3,1.48958333333333,0.0520833333333333,1,23,23,0.966234097185726
265,73,3,1.51041666666667,0.0520833333333333,1,23,23,0.985247112891753
266,74,3,1.53125,0.0520833333333333,1,19,19,1.00432464296473
267,75,3,1.55208333333333,0.0520833333333333,1,16,16,1.02346345833855
268,76,3,1.57291666666667,0.0520833333333333,1,24,24,1.04266053252396
269,77,3,1.59375,0.0520833333333333,1,12,12,1.06191302674003
270,78,3,1.61458333333333,0.0520833333333333,1,17,17,1.08121827626049
271,79,3,1.63541666666667,0.0520833333333333,1,20,20,1.10057377786934
272,80,3,1.65625,0.0520833333333333,1,30,30,1.11997717832941
273,81,3,1.67708333333333,0.0520833333333333,1,18,18,1.13942626377605
274,82,3,1.69791666666667,0.0520833333333333,1,20,20,1.15891894995561
275,83,3,1.71875,0.0520833333333333,1,26,26,1.17845327323619
276,84,3,1.73958333333333,0.0520833333333333,1,26,26,1.19802738232389
277,85,3,1.76041666666667,0.0520833333333333,1,34,34,1.21763953062433
278,86,3,1.78125,0.0520833333333333,1,16,16,1.23728806919452
279,87,3,1.80208333333333,0.0520833333333333,1,13,13,1.25697144023477
280,88,3,1.82291666666667,0.0520833333333333,1,22,22,1.2766881710755
281,89,3,1.84375,0.0520833333333333,1,14,14,1.29643686861709
282,90,3,1.86458333333333,0.0520833333333333,1,36,36,1.31621621418535
283,91,3,1.88541666666667,0.0520833333333333,1,23,23,1.33602495876807
