cell,ix,iy,xc,yc,nFluid,mass
139,11,3,0.328125,0.078125,20,20
140,12,3,0.359375,0.078125,20,20
141,13,3,0.390625,0.078125,20,20
142,14,3,0.421875,0.078125,20,20
143,15,3,0.453125,0.078125,20,20
144,16,3,0.484375,0.078125,20,20
145,17,3,0.515625,0.078125,20,20
146,18,3,0.546875,0.078125,20,20
147,19,3,0.578125,0.078125,20,20
148,20,3,0.609375,0.078125,20,20
149,21,3,0.640625,0.078125,20,20
150,22,3,0.671875,0.078125,20,20
151,23,3,0.703125,0.078125,20,20
152,24,3,0.734375,0.078125,20,20
153,25,3,0.765625,0.078125,20,20
154,26,3,0.796875,0.078125,20,20
155,27,3,0.828125,0.078125,20,20
156,28,3,0.859375,0.078125,20,20
157,29,3,0.890625,0.078125,20,20
158,30,3,0.921875,0.078125,20,20
159,31,3,0.953125,0.078125,20,20
160,32,3,0.984375,0.078125,20,20
161,33,3,1.015625,0.078125,20,20
162,34,3,1.046875,0.078125,20,20
163,35,3,1.078125,0.078125,20,20
164,36,3,1.109375,0.078125,20,20
165,37,3,1.140625,0.078125,20,20
166,38,3,1.171875,0.078125,20,20
167,39,3,1.203125,0.078125,20,20
168,40,3,1.234375,0.078125,20,20
169,41,3,1.265625,0.078125,20,20
170,42,3,1.296875,0.078125,20,20
171,43,3,1.328125,0.078125,20,20
172,44,3,1.359375,0.078125,20,20
173,45,3,1.390625,0.078125,20,20
174,46,3,1.421875,0.078125,20,20
175,47,3,1.453125,0.078125,20,20
176,48,3,1.484375,0.078125,20,20
177,49,3,1.515625,0.078125,20,20
178,50,3,1.546875,0.078125,20,20
179,51,3,1.578125,0.078125,20,20
180,52,3,1.609375,0.078125,20,20
181,53,3,1.640625,0.078125,20,20
182,54,3,1.671875,0.078125,20,20
183,55,3,1.703125,0.078125,20,20
184,56,3,1.734375,0.078125,20,20
185,57,3,1.765625,0.078125,20,20
186,58,3,1.796875,0.078125,20,20
187,59,3,1.828125,0.078125,20,20
188,60,3,1.859375,0.078125,20,20
189,61,3,1.890625,0.078125,20,20
190,62,3,1.921875,0.078125,20,20
191,63,3,1.953125,0.078125,20,20
192,64,3,1.984375,0.078125,20,20
193,1,4,0.015625,0.109375,20,20
194,2,4,0.046875,0.109375,20,20
195,3,4,0.078125,0.109375,20,20
196,4,4,0.109375,0.109375,20,20
197,5,4,0.140625,0.109375,20,20
198,6,4,0.171875,0.109375,20,20
199,7,4,0.203125,0.109375,20,20
200,8,4,0.234375,0.109375,20,20
201,9,4,0.265625,0.109375,20,20
202,10,4,0.296875,0.109375,20,20
203,11,4,0.328125,0.109375,20,20
204,12,4,0.359375,0.109375,20,20
205,13,4,0.390625,0.109375,20,20
206,14,4,0.421875,0.109375,20,20
207,15,4,0.453125,0.109375,20,20
208,16,4,0.484375,0.109375,20,20
209,17,4,0.515625,0.109375,20,20
210,18,4,0.546875,0.109375,20,20
211,19,4,0.578125,0.109375,20,20
212,20,4,0.609375,0.109375,20,20
213,21,4,0.640625,0.109375,20,20
214,22,4,0.671875,0.109375,20,20
215,23,4,0.703125,0.109375,20,20
216,24,4,0.734375,0.109375,20,20
217,25,4,0.765625,0.109375,20,20
218,26,4,0.796875,0.109375,20,20
219,27,4,0.828125,0.109375,20,20
220,28,4,0.859375,0.109375,20,20
221,29,4,0.890625,0.109375,20,20
222,30,4,0.921875,0.109375,20,20
223,31,4,0.953125,0.109375,20,20
224,32,4,0.984375,0.109375,20,20
225,33,4,1.015625,0.109375,20,20
226,34,4,1.046875,0.109375,20,20
227,35,4,1.078125,0.109375,20,20
228,36,4,1.109375,0.109375,20,20
229,37,4,1.140625,0.109375,20,20
230,38,4,1.171875,0.109375,20,20
231,39,4,1.203125,0.109375,20,20
232,40,4,1.234375,0.109375,20,20
233,41,4,1.265625,0.109375,20,20
234,42,4,1.296875,0.109375,20,20
235,43,4,1.328125,0.109375,20,20
236,44,4,1.359375,0.109375,20,20
237,45,4,1.390625,0.109375,20,20
238,46,4,1.421875,0.109375,20,20
239,47,4,1.453125,0.109375,20,20
240,48,4,1.484375,0.109375,20,20
241,49,4,1.515625,0.109375,20,20
242,50,4,1.546875,0.109375,20,20
243,51,4,1.578125,0.109375,20,20
244,52,4,1.609375,0.109375,20,20
245,53,4,1.640625,0.109375,20,20
246,54,4,1.671875,0.109375,20,20
247,55,4,1.703125,0.109375,20,20
248,56,4,1.734375,0.109375,20,20
249,57,4,1.765625,0.109375,20,20
250,58,4,1.796875,0.109375,20,20
251,59,4,1.828125,0.109375,20,20
252,60,4,1.859375,0.109375,20,20
253,61,4,1.890625,0.109375,20,20
254,62,4,1.921875,0.109375,20,20
255,63,4,1.953125,0.109375,20,20
256,64,4,1.984375,0.109375,20,20
257,1,5,0.015625,0.140625,20,20
258,2,5,0.046875,0.140625,20,20
259,3,5,0.078125,0.140625,20,20
260,4,5,0.109375,0.140625,20,20
261,5,5,0.140625,0.140625,20,20
262,6,5,0.171875,0.140625,20,20
263,7,5,0.203125,0.140625,20,20
264,8,5,0.234375,0.140625,20,20
265,9,5,0.265625,0.140625,20,20
266,10,5,0.296875,0.140625,20,20
267,11,5,0.328125,0.140625,20,20
268,12,5,0.359375,0.140625,20,20
269,13,5,0.390625,0.140625,20,20
270,14,5,0.421875,0.140625,20,20
271,15,5,0.453125,0.140625,20,20
272,16,5,0.484375,0.140625,20,20
273,17,5,0.515625,0.140625,20,20
274,18,5,0.546875,0.140625,20,20
275,19,5,0.578125,0.140625,20,20
276,20,5,0.609375,0.140625,20,20
277,21,5,0.640625,0.140625,20,20
278,22,5,0.671875,0.140625,20,20
279,23,5,0.703125,0.140625,20,20
280,24,5,0.734375,0.140625,20,20
281,25,5,0.765625,0.140625,20,20
282,26,5,0.796875,0.140625,20,20
283,27,5,0.828125,0.140625,20,20
284,28,5,0.859375,0.140625,20,20
285,29,5,0.890625,0.140625,20,20
286,30,5,0.921875,0.140625,20,20
287,31,5,0.953125,0.140625,20,20
288,32,5,0.984375,0.140625,20,20
289,33,5,1.015625,0.140625,20,20
290,34,5,1.046875,0.140625,20,20
291,35,5,1.078125,0.140625,20,20
292,36,5,1.109375,0.140625,20,20
293,37,5,1.140625,0.140625,20,20
294,38,5,1.171875,0.140625,20,20
295,39,5,1.203125,0.140625,20,20
296,40,5,1.234375,0.140625,20,20
297,41,5,1.265625,0.140625,20,20
298,42,5,1.296875,0.140625,20,20
299,43,5,1.328125,0.140625,20,20
300,44,5,1.359375,0.140625,20,20
301,45,5,1.390625,0.140625,20,20
302,46,5,1.421875,0.140625,20,20
303,47,5,1.453125,0.140625,20,20
304,48,5,1.484375,0.140625,20,20
305,49,5,1.515625,0.140625,20,20
306,50,5,1.546875,0.140625,20,20
307,51,5,1.578125,0.140625,20,20
308,52,5,1.609375,0.140625,20,20
309,53,5,1.640625,0.140625,20,20
310,54,5,1.671875,0.140625,20,20
311,55,5,1.703125,0.140625,20,20
312,56,5,1.734375,0.140625,20,20
313,57,5,1.765625,0.140625,20,20
314,58,5,1.796875,0.140625,20,20
315,59,5,1.828125,0.140625,20,20
316,60,5,1.859375,0.140625,20,20
317,61,5,1.890625,0.140625,20,20
318,62,5,1.921875,0.140625,20,20
319,63,5,1.953125,0.140625,20,20
320,64,5,1.984375,0.140625,20,20
321,1,6,0.015625,0.171875,20,20
322,2,6,0.046875,0.171875,20,20
323,3,6,0.078125,0.171875,20,20
324,4,6,0.109375,0.171875,20,20
325,5,6,0.140625,0.171875,20,20
326,6,6,0.171875,0.171875,20,20
327,7,6,0.203125,0.171875,20,20
328,8,6,0.234375,0.171875,20,20
329,9,6,0.265625,0.171875,20,20
330,10,6,0.296875,0.171875,20,20
331,11,6,0.328125,0.171875,20,20
332,12,6,0.359375,0.171875,20,20
333,13,6,0.390625,0.171875,20,20
334,14,6,0.421875,0.171875,20,20
335,15,6,0.453125,0.171875,20,20
336,16,6,0.484375,0.171875,20,20
337,17,6,0.515625,0.171875,20,20
338,18,6,0.546875,0.171875,20,20
339,19,6,0.578125,0.171875,20,20
340,20,6,0.609375,0.171875,20,20
341,21,6,0.640625,0.171875,20,20
342,22,6,0.671875,0.171875,20,20
343,23,6,0.703125,0.171875,20,20
344,24,6,0.734375,0.171875,20,20
345,25,6,0.765625,0.171875,20,20
346,26,6,0.796875,0.171875,20,20
347,27,6,0.828125,0.171875,20,20
348,28,6,0.859375,0.171875,20,20
349,29,6,0.890625,0.171875,20,20
350,30,6,0.921875,0.171875,20,20
351,31,6,0.953125,0.171875,20,20
352,32,6,0.984375,0.171875,20,20
353,33,6,1.015625,0.171875,20,20
354,34,6,1.046875,0.171875,20,20
355,35,6,1.078125,0.171875,20,20
356,36,6,1.109375,0.171875,20,20
357,37,6,1.140625,0.171875,20,20
358,38,6,1.171875,0.171875,20,20
359,39,6,1.203125,0.171875,20,20
360,40,6,1.234375,0.171875,20,20
361,41,6,1.265625,0.171875,20,20
362,42,6,1.296875,0.171875,20,20
363,43,6,1.328125,0.171875,20,20
364,44,6,1.359375,0.171875,20,20
365,45,6,1.390625,0.171875,20,20
366,46,6,1.421875,0.171875,20,20
367,47,6,1.453125,0.171875,20,20
368,48,6,1.484375,0.171875,20,20
369,49,6,1.515625,0.171875,20,20
370,50,6,1.546875,0.171875,20,20
371,51,6,1.578125,0.171875,20,20
372,52,6,1.609375,0.171875,20,20
373,53,6,1.640625,0.171875,20,20
374,54,6,1.671875,0.171875,20,20
375,55,6,1.703125,0.171875,20,20
376,56,6,1.734375,0.171875,20,20
377,57,6,1.765625,0.171875,20,20
378,58,6,1.796875,0.171875,20,20
379,59,6,1.828125,0.171875,20,20
380,60,6,1.859375,0.171875,20,20
381,61,6,1.890625,0.171875,20,20
382,62,6,1.921875,0.171875,20,20
383,63,6,1.953125,0.171875,20,20
384,64,6,1.984375,0.171875,20,20
385,1,7,0.015625,0.203125,20,20
386,2,7,0.046875,0.203125,20,20
387,3,7,0.078125,0.203125,20,20
388,4,7,0.109375,0.203125,20,20
389,5,7,0.140625,0.203125,20,20
390,6,7,0.171875,0.203125,20,20
391,7,7,0.203125,0.203125,20,20
392,8,7,0.234375,0.203125,20,20
393,9,7,0.265625,0.203125,20,20
394,10,7,0.296875,0.203125,20,20
395,11,7,0.328125,0.203125,20,20
396,12,7,0.359375,0.203125,20,20
397,13,7,0.390625,0.203125,20,20
398,14,7,0.421875,0.203125,20,20
399,15,7,0.453125,0.203125,20,20
400,16,7,0.484375,0.203125,20,20
401,17,7,0.515625,0.203125,20,20
402,18,7,0.546875,0.203125,20,20
403,19,7,0.578125,0.203125,20,20
404,20,7,0.609375,0.203125,20,20
405,21,7,0.640625,0.203125,20,20
406,22,7,0.671875,0.203125,20,20
407,23,7,0.703125,0.203125,20,20
408,24,7,0.734375,0.203125,20,20
409,25,7,0.765625,0.203125,20,20
410,26,7,0.796875,0.203125,20,20
411,27,7,0.828125,0.203125,20,20
412,28,7,0.859375,0.203125,20,20
413,29,7,0.890625,0.203125,20,20
414,30,7,0.921875,0.203125,20,20
415,31,7,0.953125,0.203125,20,20
416,32,7,0.984375,0.203125,20,20
417,33,7,1.015625,0.203125,20,20
418,34,7,1.046875,0.203125,20,20
419,35,7,1.078125,0.203125,20,20
420,36,7,1.109375,0.203125,20,20
421,37,7,1.140625,0.203125,20,20
422,38,7,1.171875,0.203125,20,20
423,39,7,1.203125,0.203125,20,20
424,40,7,1.234375,0.203125,20,20
425,41,7,1.265625,0.203125,20,20
426,42,7,1.296875,0.203125,20,20
427,43,7,1.328125,0.203125,20,20
428,44,7,1.359375,0.203125,20,20
429,45,7,1.390625,0.203125,20,20
430,46,7,1.421875,0.203125,20,20
431,47,7,1.453125,0.203125,20,20
432,48,7,1.484375,0.203125,20,20
433,49,7,1.515625,0.203125,20,20
434,50,7,1.546875,0.203125,20,20
435,51,7,1.578125,0.203125,20,20
436,52,7,1.609375,0.203125,20,20
437,53,7,1.640625,0.203125,20,20
438,54,7,1.671875,0.203125,20,20
439,55,7,1.703125,0.203125,20,20
440,56,7,1.734375,0.203125,20,20
441,57,7,1.765625,0.203125,20,20
442,58,7,1.796875,0.203125,20,20
443,59,7,1.828125,0.203125,20,20
444,60,7,1.859375,0.203125,20,20
445,61,7,1.890625,0.203125,20,20
446,62,7,1.921875,0.203125,20,20
447,63,7,1.953125,0.203125,20,20
448,64,7,1.984375,0.203125,20,20
449,1,8,0.015625,0.234375,20,20
450,2,8,0.046875,0.234375,20,20
451,3,8,0.078125,0.234375,20,20
452,4,8,0.109375,0.234375,20,20
453,5,8,0.140625,0.234375,20,20
454,6,8,0.171875,0.234375,20,20
455,7,8,0.203125,0.234375,20,20
456,8,8,0.234375,0.234375,20,20
457,9,8,0.265625,0.234375,20,20
458,10,8,0.296875,0.234375,20,20
459,11,8,0.328125,0.234375,20,20
460,12,8,0.359375,0.234375,20,20
461,13,8,0.390625,0.234375,20,20
462,14,8,0.421875,0.234375,20,20
463,15,8,0.453125,0.234375,20,20
464,16,8,0.484375,0.234375,20,20
465,17,8,0.515625,0.234375,20,20
466,18,8,0.546875,0.234375,20,20
467,19,8,0.578125,0.234375,20,20
468,20,8,0.609375,0.234375,20,20
469,21,8,0.640625,0.234375,20,20
470,22,8,0.671875,0.234375,20,20
471,23,8,0.703125,0.234375,20,20
472,24,8,0.734375,0.234375,20,20
473,25,8,0.765625,0.234375,20,20
474,26,8,0.796875,0.234375,20,20
475,27,8,0.828125,0.234375,20,20
476,28,8,0.859375,0.234375,20,20
477,29,8,0.890625,0.234375,20,20
478,30,8,0.921875,0.234375,20,20
479,31,8,0.953125,0.234375,20,20
480,32,8,0.984375,0.234375,20,20
481,33,8,1.015625,0.234375,20,20
482,34,8,1.046875,0.234375,20,20
483,35,8,1.078125,0.234375,20,20
484,36,8,1.109375,0.234375,20,20
485,37,8,1.140625,0.234375,20,20
486,38,8,1.171875,0.234375,20,20
487,39,8,1.203125,0.234375,20,20
488,40,8,1.234375,0.234375,20,20
489,41,8,1.265625,0.234375,20,20
490,42,8,1.296875,0.234375,20,20
491,43,8,1.328125,0.234375,20,20
492,44,8,1.359375,0.234375,20,20
493,45,8,1.390625,0.234375,20,20
494,46,8,1.421875,0.234375,20,20
495,47,8,1.453125,0.234375,20,20
496,48,8,1.484375,0.234375,20,20
497,49,8,1.515625,0.234375,20,20
498,50,8,1.546875,0.234375,20,20
499,51,8,1.578125,0.234375,20,20
500,52,8,1.609375,0.234375,20,20
501,53,8,1.640625,0.234375,20,20
502,54,8,1.671875,0.234375,20,20
503,55,8,1.703125,0.234375,20,20
504,56,8,1.734375,0.234375,20,20
505,57,8,1.765625,0.234375,20,20
506,58,8,1.796875,0.234375,20,20
507,59,8,1.828125,0.234375,20,20
508,60,8,1.859375,0.234375,20,20
509,61,8,1.890625,0.234375,20,20
510,62,8,1.921875,0.234375,20,20
511,63,8,1.953125,0.234375,20,20
512,64,8,1.984375,0.234375,20,20
513,1,9,0.015625,0.265625,20,20
514,2,9,0.046875,0.265625,20,20
515,3,9,0.078125,0.265625,20,20
516,4,9,0.109375,0.265625,20,20
517,5,9,0.140625,0.265625,20,20
518,6,9,0.171875,0.265625,20,20
519,7,9,0.203125,0.265625,20,20
520,8,9,0.234375,0.265625,20,20
521,9,9,0.265625,0.265625,20,20
522,10,9,0.296875,0.265625,20,20
523,11,9,0.328125,0.265625,20,20
524,12,9,0.359375,0.265625,20,20
525,13,9,0.390625,0.265625,20,20
526,14,9,0.421875,0.265625,20,20
527,15,9,0.453125,0.265625,20,20
528,16,9,0.484375,0.265625,20,20
529,17,9,0.515625,0.265625,20,20
530,18,9,0.546875,0.265625,20,20
531,19,9,0.578125,0.265625,20,20
532,20,9,0.609375,0.265625,20,20
533,21,9,0.640625,0.265625,20,20
534,22,9,0.671875,0.265625,20,20
535,23,9,0.703125,0.265625,20,20
536,24,9,0.734375,0.265625,20,20
537,25,9,0.765625,0.265625,20,20
538,26,9,0.796875,0.265625,20,20
539,27,9,0.828125,0.265625,20,20
540,28,9,0.859375,0.265625,20,20
541,29,9,0.890625,0.265625,20,20
542,30,9,0.921875,0.265625,20,20
543,31,9,0.953125,0.265625,20,20
544,32,9,0.984375,0.265625,20,20
545,33,9,1.015625,0.265625,20,20
546,34,9,1.046875,0.265625,20,20
547,35,9,1.078125,0.265625,20,20
548,36,9,1.109375,0.265625,20,20
549,37,9,1.140625,0.265625,20,20
550,38,9,1.171875,0.265625,20,20
551,39,9,1.203125,0.265625,20,20
552,40,9,1.234375,0.265625,20,20
553,41,9,1.265625,0.265625,20,20
554,42,9,1.296875,0.265625,20,20
555,43,9,1.328125,0.265625,20,20
556,44,9,1.359375,0.265625,20,20
557,45,9,1.390625,0.265625,20,20
558,46,9,1.421875,0.265625,20,20
559,47,9,1.453125,0.265625,20,20
560,48,9,1.484375,0.265625,20,20
561,49,9,1.515625,0.265625,20,20
562,50,9,1.546875,0.265625,20,20
563,51,9,1.578125,0.265625,20,20
564,52,9,1.609375,0.265625,20,20
565,53,9,1.640625,0.265625,20,20
566,54,9,1.671875,0.265625,20,20
567,55,9,1.703125,0.265625,20,20
568,56,9,1.734375,0.265625,20,20
569,57,9,1.765625,0.265625,20,20
570,58,9,1.796875,0.265625,20,20
571,59,9,1.828125,0.265625,20,20
572,60,9,1.859375,0.265625,20,20
573,61,9,1.890625,0.265625,20,20
574,62,9,1.921875,0.265625,20,20
575,63,9,1.953125,0.265625,20,20
576,64,9,1.984375,0.265625,20,20
577,1,10,0.015625,0.296875,20,20
578,2,10,0.046875,0.296875,20,20
579,3,10,0.078125,0.296875,20,20
580,4,10,0.109375,0.296875,20,20
581,5,10,0.140625,0.296875,20,20
582,6,10,0.171875,0.296875,20,20
583,7,10,0.203125,0.296875,20,20
584,8,10,0.234375,0.296875,20,20
585,9,10,0.265625,0.296875,20,20
586,10,10,0.296875,0.296875,20,20
587,11,10,0.328125,0.296875,20,20
588,12,10,0.359375,0.296875,20,20
589,13,10,0.390625,0.296875,20,20
590,14,10,0.421875,0.296875,20,20
591,15,10,0.453125,0.296875,20,20
592,16,10,0.484375,0.296875,20,20
593,17,10,0.515625,0.296875,20,20
594,18,10,0.546875,0.296875,20,20
595,19,10,0.578125,0.296875,20,20
596,20,10,0.609375,0.296875,20,20
597,21,10,0.640625,0.296875,20,20
598,22,10,0.671875,0.296875,20,20
599,23,10,0.703125,0.296875,20,20
600,24,10,0.734375,0.296875,20,20
601,25,10,0.765625,0.296875,20,20
602,26,10,0.796875,0.296875,20,20
603,27,10,0.828125,0.296875,20,20
604,28,10,0.859375,0.296875,20,20
605,29,10,0.890625,0.296875,20,20
606,30,10,0.921875,0.296875,20,20
607,31,10,0.953125,0.296875,20,20
608,32,10,0.984375,0.296875,20,20
609,33,10,1.015625,0.296875,20,20
610,34,10,1.046875,0.296875,20,20
611,35,10,1.078125,0.296875,20,20
612,36,10,1.109375,0.296875,20,20
613,37,10,1.140625,0.296875,20,20
614,38,10,1.171875,0.296875,20,20
615,39,10,1.203125,0.296875,20,20
616,40,10,1.234375,0.296875,20,20
617,41,10,1.265625,0.296875,20,20
618,42,10,1.296875,0.296875,20,20
619,43,10,1.328125,0.296875,20,20
620,44,10,1.359375,0.296875,20,20
621,45,10,1.390625,0.296875,20,20
622,46,10,1.421875,0.296875,20,20
623,47,10,1.453125,0.296875,20,20
624,48,10,1.484375,0.296875,20,20
625,49,10,1.515625,0.296875,20,20
626,50,10,1.546875,0.296875,20,20
627,51,10,1.578125,0.296875,20,20
628,52,10,1.609375,0.296875,20,20
629,53,10,1.640625,0.296875,20,20
630,54,10,1.671875,0.296875,20,20
631,55,10,1.703125,0.296875,20,20
632,56,10,1.734375,0.296875,20,20
633,57,10,1.765625,0.296875,20,20
634,58,10,1.796875,0.296875,20,20
635,59,10,1.828125,0.296875,20,20
636,60,10,1.859375,0.296875,20,20
637,61,10,1.890625,0.296875,20,20
638,62,10,1.921875,0.296875,20,20
639,63,10,1.953125,0.296875,20,20
640,64,10,1.984375,0.296875,20,20
641,1,11,0.015625,0.328125,20,20
642,2,11,0.046875,0.328125,20,20
643,3,11,0.078125,0.328125,20,20
644,4,11,0.109375,0.328125,20,20
645,5,11,0.140625,0.328125,20,20
646,6,11,0.171875,0.328125,20,20
647,7,11,0.203125,0.328125,20,20
648,8,11,0.234375,0.328125,20,20
649,9,11,0.265625,0.328125,20,20
650,10,11,0.296875,0.328125,20,20
651,11,11,0.328125,0.328125,20,20
652,12,11,0.359375,0.328125,20,20
653,13,11,0.390625,0.328125,20,20
654,14,11,0.421875,0.328125,20,20
655,15,11,0.453125,0.328125,20,20
656,16,11,0.484375,0.328125,20,20
657,17,11,0.515625,0.328125,20,20
658,18,11,0.546875,0.328125,20,20
659,19,11,0.578125,0.328125,20,20
660,20,11,0.609375,0.328125,20,20
661,21,11,0.640625,0.328125,20,20
662,22,11,0.671875,0.328125,20,20
663,23,11,0.703125,0.328125,20,20
664,24,11,0.734375,0.328125,20,20
665,25,11,0.765625,0.328125,20,20
666,26,11,0.796875,0.328125,20,20
667,27,11,0.828125,0.328125,20,20
668,28,11,0.859375,0.328125,20,20
669,29,11,0.890625,0.328125,20,20
670,30,11,0.921875,0.328125,20,20
671,31,11,0.953125,0.328125,20,20
672,32,11,0.984375,0.328125,20,20
673,33,11,1.015625,0.328125,20,20
674,34,11,1.046875,0.328125,20,20
675,35,11,1.078125,0.328125,20,20
676,36,11,1.109375,0.328125,20,20
677,37,11,1.140625,0.328125,20,20
678,38,11,1.171875,0.328125,20,20
679,39,11,1.203125,0.328125,20,20
680,40,11,1.234375,0.328125,20,20
681,41,11,1.265625,0.328125,20,20
682,42,11,1.296875,0.328125,20,20
683,43,11,1.328125,0.328125,20,20
684,44,11,1.359375,0.328125,20,20
685,45,11,1.390625,0.328125,20,20
686,46,11,1.421875,0.328125,20,20
687,47,11,1.453125,0.328125,20,20
688,48,11,1.484375,0.328125,20,20
689,49,11,1.515625,0.328125,20,20
690,50,11,1.546875,0.328125,20,20
691,51,11,1.578125,0.328125,20,20
692,52,11,1.609375,0.328125,20,20
693,53,11,1.640625,0.328125,20,20
694,54,11,1.671875,0.328125,20,20
695,55,11,1.703125,0.328125,20,20
696,56,11,1.734375,0.328125,20,20
697,57,11,1.765625,0.328125,20,20
