Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.07     13.99     0.01      200     0.05     0.08  mpcd::apply_resampling_local_thermal_renormalization(mpcd::ParticleState&, mpcd::WeightedRealFluidDepositWorkspace const&, mpcd::ResamplingRemapApplyDiagnostics const&)
  0.07     14.00     0.01                             void std::vector<int, std::allocator<int> >::_M_realloc_insert<int const&>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&)
  0.00     14.00     0.00 31610060     0.00     0.00  mpcd::is_fluid_role(unsigned char)
  0.00     14.00     0.00  2278882     0.00     0.00  void std::vector<unsigned long, std::allocator<unsigned long> >::_M_realloc_insert<unsigned long const&>(__gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >, unsigned long const&)
  0.00     14.00     0.00  1422442     0.00     0.00  mpcd::fluid_domain_height(mpcd::FluidDomainBounds const&)
  0.00     14.00     0.00   785604     0.00     0.00  std::vector<double, std::allocator<double> >::~vector()
  0.00     14.00     0.00   602642     0.00     0.00  mpcd::is_latent_role(unsigned char)
  0.00     14.00     0.00   602642     0.00     0.00  mpcd::is_inactive_role(unsigned char)
  0.00     14.00     0.00   423830     0.00     0.02  mpcd::ensure_particle_roles(mpcd::ParticleState&, mpcd::ParticleRole)
  0.00     14.00     0.00   422426     0.00     0.02  mpcd::set_particle_role(mpcd::ParticleState&, unsigned long, mpcd::ParticleRole)
  0.00     14.00     0.00   415652     0.00     0.00  mpcd::immersed_solid_fraction_in_cell(int, int, mpcd::CellGrid const&, mpcd::GridShift const&, mpcd::SimulationParams const&, mpcd::FluidDomainBounds const&, double)
  0.00     14.00     0.00   383052     0.00     0.00  mpcd::immersed_solid_enabled(mpcd::SimulationParams const&)
  0.00     14.00     0.00   227606     0.00     0.00  mpcd::resampling_pool_push_free_slot(mpcd::ResamplingParticlePoolWorkspace&, unsigned long)
  0.00     14.00     0.00   215579     0.00     0.00  mpcd::(anonymous namespace)::point_in_inlet_reservoir(double, double, mpcd::SimulationParams const&, mpcd::FluidDomainBounds const&)::{lambda(char const*)#1}::operator()(char const*) const
  0.00     14.00     0.00   110978     0.00     0.00  mpcd::compute_periodic_face_divergence(mpcd::EllipticProjectionGrid const&, mpcd::PeriodicFaceField const&)
  0.00     14.00     0.00    81027     0.00     0.00  mpcd::immersed_solid_wall_velocity(mpcd::SimulationParams const&, double, double, double, double&, double&)
  0.00     14.00     0.00    18246     0.00     0.00  mpcd::resize_collision_workspace(mpcd::CollisionWorkspace&, unsigned long, int, int)
  0.00     14.00     0.00    17322     0.00     0.00  mpcd::resampling_pool_pop_free_slot(mpcd::ResamplingParticlePoolWorkspace&)
  0.00     14.00     0.00    14854     0.00     0.00  std::mersenne_twister_engine<unsigned long, 64ul, 312ul, 156ul, 31ul, 13043109905998158313ul, 29ul, 6148914691236517205ul, 17ul, 8202884508482404352ul, 37ul, 18444473444759240704ul, 43ul, 6364136223846793005ul>::_M_gen_rand()
  0.00     14.00     0.00    14620     0.00     0.00  bool std::operator==<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
  0.00     14.00     0.00     6433     0.00     0.00  mpcd::compute_cell_counts(mpcd::ParticleState const&, mpcd::CellGrid const&, mpcd::GridShift const&, mpcd::SimulationParams const&)
  0.00     14.00     0.00     6432     0.00     0.00  mpcd::(anonymous namespace)::face_tag(char const*)
  0.00     14.00     0.00     4582     0.00     0.00  mpcd::(anonymous namespace)::subtract_mean(std::vector<double, std::allocator<double> >&, mpcd::EllipticProjectionMask const*)
  0.00     14.00     0.00     2920     0.00     0.00  mpcd::(anonymous namespace)::wall_velocity_for_face(mpcd::SimulationParams const&, mpcd::FluidDomainBounds const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, double&, double&) [clone .constprop.0]
  0.00     14.00     0.00     2920     0.00     0.00  mpcd::(anonymous namespace)::reflect_x_as_solid_face(double&, double&, double&, mpcd::SimulationParams const&, mpcd::FluidDomainBounds const&, char const*)
  0.00     14.00     0.00     2000     0.00     0.00  mpcd::(anonymous namespace)::require_mask(mpcd::EllipticProjectionMask const*, int, char const*)
  0.00     14.00     0.00     1854     0.00     0.00  std::vector<unsigned long, std::allocator<unsigned long> >::reserve(unsigned long)
  0.00     14.00     0.00     1646     0.00     0.00  mpcd::is_outlet_boundary_mode(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00     14.00     0.00     1643     0.00     0.00  mpcd::is_io_boundary_mode(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00     14.00     0.00     1600     0.00     0.00  mpcd::(anonymous namespace)::require_face_size(mpcd::PeriodicFaceField const&, int, char const*)
  0.00     14.00     0.00     1519     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::_M_fill_assign(unsigned long, unsigned char const&)
  0.00     14.00     0.00     1285     0.00     0.00  mpcd::resize_periodic_face_field(mpcd::PeriodicFaceField&, int)
  0.00     14.00     0.00     1005     0.00     0.00  std::vector<double, std::allocator<double> >::reserve(unsigned long)
  0.00     14.00     0.00     1000     0.00     0.06  mpcd::compute_face_divergence(mpcd::EllipticProjectionGrid const&, mpcd::PeriodicFaceField const&, mpcd::EllipticProjectionBC const&, mpcd::EllipticProjectionMask const*)
  0.00     14.00     0.00      801     0.00     0.00  mpcd::attach_resampling_pool_diagnostics(mpcd::WeightedResamplingDiagnostics&, mpcd::ResamplingParticlePoolDiagnostics const&)
  0.00     14.00     0.00      801     0.00     0.03  mpcd::resize_weighted_real_fluid_deposit(mpcd::WeightedRealFluidDepositWorkspace&, unsigned long, int, int)
  0.00     14.00     0.00      800     0.00     0.00  mpcd::(anonymous namespace)::scalar_stats(std::vector<double, std::allocator<double> > const&, mpcd::EllipticProjectionMask const*)
  0.00     14.00     0.00      800     0.00     0.00  std::vector<unsigned long, std::allocator<unsigned long> >::_M_fill_assign(unsigned long, unsigned long const&)
  0.00     14.00     0.00      690     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::~vector()
  0.00     14.00     0.00      551     0.00     0.00  mpcd::(anonymous namespace)::trim(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00     14.00     0.00      453     0.00     0.00  std::vector<int, std::allocator<int> >::reserve(unsigned long)
  0.00     14.00     0.00      400     0.00     0.00  mpcd::(anonymous namespace)::open_boundary_outlet_mode_is_hybrid(mpcd::SimulationParams const&)
  0.00     14.00     0.00      400     0.00     0.00  mpcd::(anonymous namespace)::normalized_open_boundary_outlet_mode(mpcd::SimulationParams const&)
  0.00     14.00     0.00      400     0.00     0.00  mpcd::attach_resampling_population_guard_diagnostics(mpcd::WeightedResamplingDiagnostics&, mpcd::ResamplingPopulationGuardDiagnostics const&)
  0.00     14.00     0.00      400     0.00     0.00  mpcd::compute_closed_capacity_response_from_cell_masses(mpcd::SimulationParams const&, mpcd::CellGrid const&, mpcd::FluidDomainBounds const&, std::vector<double, std::allocator<double> > const&, std::vector<unsigned char, std::allocator<unsigned char> > const*, double)
  0.00     14.00     0.00      217     0.00     0.00  mpcd::resize_elliptic_projection_workspace(mpcd::EllipticProjectionWorkspace&, int)
  0.00     14.00     0.00      206     0.00     0.00  mpcd::make_fluid_domain_bounds(mpcd::SimulationParams const&, double)
  0.00     14.00     0.00      201     0.00     0.20  mpcd::(anonymous namespace)::build_hard_reservoir_cells(mpcd::SimulationParams const&, mpcd::FluidDomainBounds const&, double, unsigned int, double)
  0.00     14.00     0.00      201     0.00     1.45  mpcd::apply_boundary_conditions(mpcd::ParticleState&, mpcd::SimulationParams const&, mpcd::FluidDomainBounds const&, unsigned long, double)
  0.00     14.00     0.00      201     0.00     0.01  mpcd::apply_immersed_solid_reflection(mpcd::ParticleState&, mpcd::SimulationParams const&, mpcd::FluidDomainBounds const&, double)
  0.00     14.00     0.00      200     0.00     0.00  mpcd::(anonymous namespace)::add_boundary_fluxes_to_q6_bc(mpcd::EllipticProjectionBC&, mpcd::PeriodicFaceField const&, mpcd::SimulationParams const&, mpcd::FluidDomainBounds const&, double, mpcd::Q6ProjectionDiagnostics&)
  0.00     14.00     0.00      200     0.00     0.00  mpcd::(anonymous namespace)::apply_segmented_hybrid_feedback(mpcd::EllipticProjectionBC&, mpcd::SimulationParams const&, mpcd::FluidDomainBounds const&)
  0.00     14.00     0.00      200     0.00     1.47  mpcd::project_face_field(mpcd::EllipticProjectionGrid const&, mpcd::PeriodicFaceField const&, mpcd::PeriodicFaceField const&, std::vector<double, std::allocator<double> > const&, mpcd::EllipticProjectionParams const&, mpcd::EllipticProjectionBC const&, mpcd::EllipticProjectionWorkspace&, mpcd::EllipticProjectionMask const*)
  0.00     14.00     0.00      200     0.00     3.77  mpcd::src_collision_step(mpcd::ParticleState&, mpcd::SimulationParams const&, mpcd::CellGrid const&, mpcd::FluidDomainBounds const&, unsigned long, mpcd::CollisionWorkspace&)
  0.00     14.00     0.00      200     0.00     0.00  mpcd::resize_thermostat_workspace(mpcd::ThermostatWorkspace&, unsigned long, int, int)
  0.00     14.00     0.00      200     0.00     0.00  mpcd::make_elliptic_projection_grid(int, int, double, double)
  0.00     14.00     0.00      200     0.00     0.00  mpcd::build_immersed_solid_projection_mask(mpcd::SimulationParams const&, mpcd::CellGrid const&, mpcd::FluidDomainBounds const&, double, double)
