Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
                0.00    0.00     201/852682      mpcd::apply_boundary_conditions(mpcd::ParticleState&, mpcd::SimulationParams const&, mpcd::FluidDomainBounds const&, unsigned long, double) [18]
                0.00    0.00     201/852682      mpcd::apply_immersed_solid_reflection(mpcd::ParticleState&, mpcd::SimulationParams const&, mpcd::FluidDomainBounds const&, double) [52]
                0.01    0.00     601/852682      mpcd::rebuild_resampling_particle_pool(mpcd::ParticleState const&, mpcd::ResamplingParticlePoolWorkspace&) [39]
                0.01    0.00     801/852682      mpcd::deposit_weighted_real_fluid(mpcd::ParticleState const&, mpcd::SimulationParams const&, mpcd::CellGrid const&, mpcd::FluidDomainBounds const&, double, mpcd::GridShift const&, mpcd::WeightedRealFluidDepositWorkspace&, bool, bool) [16]
                0.01    0.00    1007/852682      mpcd::count_particle_roles(mpcd::ParticleState const&) [38]
                8.25    0.00  847660/852682      mpcd::ensure_particle_roles(mpcd::ParticleState&, mpcd::ParticleRole) [4]
[3]     59.3    8.30    0.00  852682         mpcd::validate_particle_state(mpcd::ParticleState const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [3]
-----------------------------------------------
                0.00    0.00       1/423830      main [1]
                0.00    0.00       3/423830      mpcd::write_smpcd_state(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, mpcd::ParticleState const&) [56]
                0.00    0.00     200/423830      mpcd::run_src_mpcd_base_step(mpcd::ParticleState&, mpcd::SimulationParams const&, mpcd::CellGrid const&, unsigned long, mpcd::SrcMpcdBaseWorkspace&, bool) [2]
                0.00    0.00     200/423830      mpcd::apply_resampling_insertion_operations(mpcd::ParticleState&, mpcd::ResamplingParticlePoolWorkspace&, mpcd::WeightedRealFluidDepositWorkspace const&, mpcd::CellGrid const&) [6]
                0.00    0.00     200/423830      mpcd::apply_resampling_local_mass_momentum_remap(mpcd::ParticleState&, mpcd::WeightedRealFluidDepositWorkspace&, mpcd::WeightedResamplingDiagnostics const&, double, double) [30]
                0.00    0.00     200/423830      mpcd::apply_resampling_local_thermal_renormalization(mpcd::ParticleState&, mpcd::WeightedRealFluidDepositWorkspace const&, mpcd::ResamplingRemapApplyDiagnostics const&) [45]
                0.00    0.00     200/423830      mpcd::apply_resampling_particle_mass_guards(mpcd::ParticleState&, mpcd::SimulationParams const&, mpcd::WeightedRealFluidDepositWorkspace const&, mpcd::WeightedResamplingDiagnostics const&, double) [11]
                0.00    0.00     200/423830      mpcd::apply_resampling_extraction_operations(mpcd::ParticleState&, mpcd::ResamplingParticlePoolWorkspace&, mpcd::WeightedRealFluidDepositWorkspace const&) [7]
                0.00    0.00     200/423830      mpcd::apply_resampling_population_support_guard(mpcd::ParticleState&, mpcd::ResamplingParticlePoolWorkspace&, mpcd::WeightedRealFluidDepositWorkspace&, mpcd::WeightedResamplingDiagnostics const&, mpcd::SimulationParams const&, mpcd::CellGrid const&) [33]
                0.00    8.22  422426/423830      mpcd::set_particle_role(mpcd::ParticleState&, unsigned long, mpcd::ParticleRole) [5]
[4]     58.9    0.00    8.25  423830         mpcd::ensure_particle_roles(mpcd::ParticleState&, mpcd::ParticleRole) [4]
                8.25    0.00  847660/852682      mpcd::validate_particle_state(mpcd::ParticleState const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [3]
-----------------------------------------------
                0.00    4.11  211213/422426      mpcd::apply_resampling_insertion_operations(mpcd::ParticleState&, mpcd::ResamplingParticlePoolWorkspace&, mpcd::WeightedRealFluidDepositWorkspace const&, mpcd::CellGrid const&) [6]
                0.00    4.11  211213/422426      mpcd::apply_resampling_extraction_operations(mpcd::ParticleState&, mpcd::ResamplingParticlePoolWorkspace&, mpcd::WeightedRealFluidDepositWorkspace const&) [7]
[5]     58.7    0.00    8.22  422426         mpcd::set_particle_role(mpcd::ParticleState&, unsigned long, mpcd::ParticleRole) [5]
                0.00    8.22  422426/423830      mpcd::ensure_particle_roles(mpcd::ParticleState&, mpcd::ParticleRole) [4]
-----------------------------------------------
                0.06    6.59     200/200         mpcd::run_src_mpcd_base_step(mpcd::ParticleState&, mpcd::SimulationParams const&, mpcd::CellGrid const&, unsigned long, mpcd::SrcMpcdBaseWorkspace&, bool) [2]
[6]     47.5    0.06    6.59     200         mpcd::apply_resampling_insertion_operations(mpcd::ParticleState&, mpcd::ResamplingParticlePoolWorkspace&, mpcd::WeightedRealFluidDepositWorkspace const&, mpcd::CellGrid const&) [6]
                0.00    4.11  211213/422426      mpcd::set_particle_role(mpcd::ParticleState&, unsigned long, mpcd::ParticleRole) [5]
                0.20    2.27  211213/212214      std::vector<unsigned char, std::allocator<unsigned char> >::_M_default_append(unsigned long) [9]
                0.00    0.00     200/423830      mpcd::ensure_particle_roles(mpcd::ParticleState&, mpcd::ParticleRole) [4]
                0.00    0.00     200/852682      mpcd::validate_particle_state(mpcd::ParticleState const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [3]
                0.00    0.00  211213/8261072     mpcd::is_inactive_particle(mpcd::ParticleState const&, unsigned long) [49]
-----------------------------------------------
                0.01    4.12     200/200         mpcd::run_src_mpcd_base_step(mpcd::ParticleState&, mpcd::SimulationParams const&, mpcd::CellGrid const&, unsigned long, mpcd::SrcMpcdBaseWorkspace&, bool) [2]
[7]     29.5    0.01    4.12     200         mpcd::apply_resampling_extraction_operations(mpcd::ParticleState&, mpcd::ResamplingParticlePoolWorkspace&, mpcd::WeightedRealFluidDepositWorkspace const&) [7]
                0.00    4.11  211213/422426      mpcd::set_particle_role(mpcd::ParticleState&, unsigned long, mpcd::ParticleRole) [5]
                0.00    0.00     200/423830      mpcd::ensure_particle_roles(mpcd::ParticleState&, mpcd::ParticleRole) [4]
                0.00    0.00     200/852682      mpcd::validate_particle_state(mpcd::ParticleState const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [3]
                0.00    0.00  211213/82754300     mpcd::is_fluid_particle(mpcd::ParticleState const&, unsigned long) [22]
                0.00    0.00  211213/227606      mpcd::resampling_pool_push_free_slot(mpcd::ResamplingParticlePoolWorkspace&, unsigned long) [75]
-----------------------------------------------
                             8530556             mpcd::point_is_inside_immersed_solid(double, double, mpcd::SimulationParams const&, double) [8]
                0.01    0.03    6432/396495      mpcd::(anonymous namespace)::build_hard_reservoir_cells(mpcd::SimulationParams const&, mpcd::FluidDomainBounds const&, double, unsigned int, double) [36]
                0.09    0.42   80230/396495      mpcd::(anonymous namespace)::make_virtual_face_contribution(double, double, double, double, double, double, double, double, double, unsigned long) [13]
                0.34    1.63  309833/396495      std::vector<unsigned char, std::allocator<unsigned char> >::_M_default_append(unsigned long) [9]
[8]     18.0    0.43    2.09  396495+8530556 mpcd::point_is_inside_immersed_solid(double, double, mpcd::SimulationParams const&, double) [8]
                1.98    0.00 16635282/17569014     mpcd::immersed_solid_shape(mpcd::SimulationParams const&) [10]
                0.09    0.00 8038056/8332784     mpcd::point_is_inside_fluid_domain(double, double, mpcd::FluidDomainBounds const&) [25]
                0.02    0.00 7662557/40713471     mpcd::is_x_periodic(mpcd::SimulationParams const&) [28]
                0.00    0.00 1861991/34664590     mpcd::is_y_periodic(mpcd::SimulationParams const&) [37]
                             8530556             mpcd::point_is_inside_immersed_solid(double, double, mpcd::SimulationParams const&, double) [8]
-----------------------------------------------
                0.00    0.00       1/212214      mpcd::read_smpcd_state(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [58]
                0.00    0.00     400/212214      mpcd::deposit_weighted_real_fluid(mpcd::ParticleState const&, mpcd::SimulationParams const&, mpcd::CellGrid const&, mpcd::FluidDomainBounds const&, double, mpcd::GridShift const&, mpcd::WeightedRealFluidDepositWorkspace&, bool, bool) [16]
                0.00    0.01     600/212214      mpcd::apply_resampling_population_support_guard(mpcd::ParticleState&, mpcd::ResamplingParticlePoolWorkspace&, mpcd::WeightedRealFluidDepositWorkspace&, mpcd::WeightedResamplingDiagnostics const&, mpcd::SimulationParams const&, mpcd::CellGrid const&) [33]
                0.20    2.27  211213/212214      mpcd::apply_resampling_insertion_operations(mpcd::ParticleState&, mpcd::ResamplingParticlePoolWorkspace&, mpcd::WeightedRealFluidDepositWorkspace const&, mpcd::CellGrid const&) [6]
[9]     17.7    0.20    2.28  212214         std::vector<unsigned char, std::allocator<unsigned char> >::_M_default_append(unsigned long) [9]
                0.34    1.63  309833/396495      mpcd::point_is_inside_immersed_solid(double, double, mpcd::SimulationParams const&, double) [8]
                0.20    0.02 4819370/6394483     mpcd::cell_index_from_position(double, double, mpcd::CellGrid const&, mpcd::GridShift const&, mpcd::SimulationParams const&) [20]
                0.00    0.04  334670/415652      mpcd::immersed_solid_fraction_in_cell(int, int, mpcd::CellGrid const&, mpcd::GridShift const&, mpcd::SimulationParams const&, mpcd::FluidDomainBounds const&, double) [32]
                0.00    0.04  297067/383052      mpcd::immersed_solid_enabled(mpcd::SimulationParams const&) [34]
                0.02    0.00 9731413/82754300     mpcd::is_fluid_particle(mpcd::ParticleState const&, unsigned long) [22]
                0.00    0.00  294728/8332784     mpcd::point_is_inside_fluid_domain(double, double, mpcd::FluidDomainBounds const&) [25]
-----------------------------------------------
                              394215             mpcd::immersed_solid_shape(mpcd::SimulationParams const&) [10]
                0.00    0.00     200/17569014     mpcd::build_immersed_solid_projection_mask(mpcd::SimulationParams const&, mpcd::CellGrid const&, mpcd::FluidDomainBounds const&, double, double) [57]
                0.00    0.00     402/17569014     mpcd::apply_immersed_solid_reflection(mpcd::ParticleState&, mpcd::SimulationParams const&, mpcd::FluidDomainBounds const&, double) [52]
                0.01    0.00   87847/17569014     mpcd::immersed_solid_wall_velocity(mpcd::SimulationParams const&, double, double, double, double&, double&) [47]
                0.05    0.00  402124/17569014     mpcd::immersed_solid_enabled(mpcd::SimulationParams const&) [34]
                0.05    0.00  443159/17569014     mpcd::immersed_solid_fraction_in_cell(int, int, mpcd::CellGrid const&, mpcd::GridShift const&, mpcd::SimulationParams const&, mpcd::FluidDomainBounds const&, double) [32]
                1.98    0.00 16635282/17569014     mpcd::point_is_inside_immersed_solid(double, double, mpcd::SimulationParams const&, double) [8]
[10]    15.0    2.09    0.00 17569014+394215  mpcd::immersed_solid_shape(mpcd::SimulationParams const&) [10]
                0.00    0.00 2302642/82754300     mpcd::is_fluid_particle(mpcd::ParticleState const&, unsigned long) [22]
                              394215             mpcd::immersed_solid_shape(mpcd::SimulationParams const&) [10]
-----------------------------------------------
                0.76    0.02     200/200         mpcd::run_src_mpcd_base_step(mpcd::ParticleState&, mpcd::SimulationParams const&, mpcd::CellGrid const&, unsigned long, mpcd::SrcMpcdBaseWorkspace&, bool) [2]
[11]     5.6    0.76    0.02     200         mpcd::apply_resampling_particle_mass_guards(mpcd::ParticleState&, mpcd::SimulationParams const&, mpcd::WeightedRealFluidDepositWorkspace const&, mpcd::WeightedResamplingDiagnostics const&, double) [11]
                0.02    0.00 7882983/82754300     mpcd::is_fluid_particle(mpcd::ParticleState const&, unsigned long) [22]
                0.00    0.00     200/423830      mpcd::ensure_particle_roles(mpcd::ParticleState&, mpcd::ParticleRole) [4]
                0.00    0.00     200/852682      mpcd::validate_particle_state(mpcd::ParticleState const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [3]
                0.00    0.00 2278881/2278882     void std::vector<unsigned long, std::allocator<unsigned long> >::_M_realloc_insert<unsigned long const&>(__gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >, unsigned long const&) [70]
                0.00    0.00  785604/785604      std::vector<double, std::allocator<double> >::~vector() [72]
-----------------------------------------------
                0.00    0.75     200/200         mpcd::run_src_mpcd_base_step(mpcd::ParticleState&, mpcd::SimulationParams const&, mpcd::CellGrid const&, unsigned long, mpcd::SrcMpcdBaseWorkspace&, bool) [2]
[12]     5.4    0.00    0.75     200         mpcd::src_collision_step(mpcd::ParticleState&, mpcd::SimulationParams const&, mpcd::CellGrid const&, mpcd::FluidDomainBounds const&, unsigned long, mpcd::CollisionWorkspace&) [12]
                0.03    0.71     200/200         mpcd::(anonymous namespace)::make_virtual_face_contribution(double, double, double, double, double, double, double, double, double, unsigned long) [13]
                0.01    0.00     200/1007        mpcd::count_particle_roles(mpcd::ParticleState const&) [38]
                0.00    0.00     200/852682      mpcd::validate_particle_state(mpcd::ParticleState const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [3]
                0.00    0.00     200/18246       mpcd::resize_collision_workspace(mpcd::CollisionWorkspace&, unsigned long, int, int) [42]
-----------------------------------------------
                              398610             mpcd::(anonymous namespace)::make_virtual_face_contribution(double, double, double, double, double, double, double, double, double, unsigned long) [13]
                0.03    0.71     200/200         mpcd::src_collision_step(mpcd::ParticleState&, mpcd::SimulationParams const&, mpcd::CellGrid const&, mpcd::FluidDomainBounds const&, unsigned long, mpcd::CollisionWorkspace&) [12]
[13]     5.3    0.03    0.71     200+398610  mpcd::(anonymous namespace)::make_virtual_face_contribution(double, double, double, double, double, double, double, double, double, unsigned long) [13]
                0.09    0.42   80230/396495      mpcd::point_is_inside_immersed_solid(double, double, mpcd::SimulationParams const&, double) [8]
                0.07    0.08  678917/680317      std::vector<double, std::allocator<double> >::_M_fill_assign(unsigned long, double const&) [23]
                0.00    0.03   18046/18246       mpcd::resize_collision_workspace(mpcd::CollisionWorkspace&, unsigned long, int, int) [42]
                0.00    0.01   85985/383052      mpcd::immersed_solid_enabled(mpcd::SimulationParams const&) [34]
                0.00    0.01   81027/81027       mpcd::immersed_solid_wall_velocity(mpcd::SimulationParams const&, double, double, double, double&, double&) [47]
                0.00    0.01   80982/415652      mpcd::immersed_solid_fraction_in_cell(int, int, mpcd::CellGrid const&, mpcd::GridShift const&, mpcd::SimulationParams const&, mpcd::FluidDomainBounds const&, double) [32]
                0.00    0.00  326572/40713471     mpcd::is_x_periodic(mpcd::SimulationParams const&) [28]
                0.00    0.00  330604/34664590     mpcd::is_y_periodic(mpcd::SimulationParams const&) [37]
                0.00    0.00     200/14854       std::mersenne_twister_engine<unsigned long, 64ul, 312ul, 156ul, 31ul, 13043109905998158313ul, 29ul, 6148914691236517205ul, 17ul, 8202884508482404352ul, 37ul, 18444473444759240704ul, 43ul, 6364136223846793005ul>::_M_gen_rand() [79]
                              398610             mpcd::(anonymous namespace)::make_virtual_face_contribution(double, double, double, double, double, double, double, double, double, unsigned long) [13]
-----------------------------------------------
                0.01    0.46     200/200         mpcd::run_src_mpcd_base_step(mpcd::ParticleState&, mpcd::SimulationParams const&, mpcd::CellGrid const&, unsigned long, mpcd::SrcMpcdBaseWorkspace&, bool) [2]
[14]     3.4    0.01    0.46     200         mpcd::apply_q6_periodic_projection(mpcd::ParticleState&, mpcd::SimulationParams const&, mpcd::CellGrid const&, mpcd::FluidDomainBounds const&, double, mpcd::Q6ProjectionWorkspace&) [14]
                0.00    0.29     200/200         mpcd::project_face_field(mpcd::EllipticProjectionGrid const&, mpcd::PeriodicFaceField const&, mpcd::PeriodicFaceField const&, std::vector<double, std::allocator<double> > const&, mpcd::EllipticProjectionParams const&, mpcd::EllipticProjectionBC const&, mpcd::EllipticProjectionWorkspace&, mpcd::EllipticProjectionMask const*) [17]
                0.09    0.02     800/800         mpcd::(anonymous namespace)::measure_q6_solid_boundary_leak(mpcd::PeriodicFaceField const&, mpcd::ImmersedSolidProjectionMask const&, mpcd::SimulationParams const&) [24]
                0.02    0.00      17/51          std::vector<int, std::allocator<int> >::_M_fill_assign(unsigned long, int const&) [29]
                0.00    0.03     400/1000        mpcd::compute_face_divergence(mpcd::EllipticProjectionGrid const&, mpcd::PeriodicFaceField const&, mpcd::EllipticProjectionBC const&, mpcd::EllipticProjectionMask const*) [31]
                0.00    0.00     200/852682      mpcd::validate_particle_state(mpcd::ParticleState const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [3]
                0.00    0.00     200/200         mpcd::(anonymous namespace)::add_boundary_fluxes_to_q6_bc(mpcd::EllipticProjectionBC&, mpcd::PeriodicFaceField const&, mpcd::SimulationParams const&, mpcd::FluidDomainBounds const&, double, mpcd::Q6ProjectionDiagnostics&) [55]
                0.00    0.00     400/680317      std::vector<double, std::allocator<double> >::_M_fill_assign(unsigned long, double const&) [23]
                0.00    0.00     200/200         mpcd::build_immersed_solid_projection_mask(mpcd::SimulationParams const&, mpcd::CellGrid const&, mpcd::FluidDomainBounds const&, double, double) [57]
                0.00    0.00     400/1388243     mpcd::fluid_domain_width(mpcd::FluidDomainBounds const&) [50]
                0.00    0.00     400/40713471     mpcd::is_x_periodic(mpcd::SimulationParams const&) [28]
                0.00    0.00     400/34664590     mpcd::is_y_periodic(mpcd::SimulationParams const&) [37]
                0.00    0.00     685/1285        mpcd::resize_periodic_face_field(mpcd::PeriodicFaceField&, int) [90]
                0.00    0.00     400/1422442     mpcd::fluid_domain_height(mpcd::FluidDomainBounds const&) [71]
                0.00    0.00     200/200         mpcd::make_elliptic_projection_grid(int, int, double, double) [106]
                0.00    0.00     200/400         mpcd::compute_closed_capacity_response_from_cell_masses(mpcd::SimulationParams const&, mpcd::CellGrid const&, mpcd::FluidDomainBounds const&, std::vector<double, std::allocator<double> > const&, std::vector<unsigned char, std::allocator<unsigned char> > const*, double) [101]
                0.00    0.00      17/217         mpcd::resize_elliptic_projection_workspace(mpcd::EllipticProjectionWorkspace&, int) [102]
-----------------------------------------------
                                                 <spontaneous>
[15]     2.4    0.33    0.00                 _init [15]
-----------------------------------------------
                0.00    0.00       1/801         main [1]
                0.15    0.18     800/801         mpcd::run_src_mpcd_base_step(mpcd::ParticleState&, mpcd::SimulationParams const&, mpcd::CellGrid const&, unsigned long, mpcd::SrcMpcdBaseWorkspace&, bool) [2]
[16]     2.3    0.15    0.18     801         mpcd::deposit_weighted_real_fluid(mpcd::ParticleState const&, mpcd::SimulationParams const&, mpcd::CellGrid const&, mpcd::FluidDomainBounds const&, double, mpcd::GridShift const&, mpcd::WeightedRealFluidDepositWorkspace&, bool, bool) [16]
                0.05    0.00 24155484/40713471     mpcd::is_x_periodic(mpcd::SimulationParams const&) [28]
                0.02    0.01     801/1007        mpcd::count_particle_roles(mpcd::ParticleState const&) [38]
                0.03    0.00 16189656/82754300     mpcd::is_fluid_particle(mpcd::ParticleState const&, unsigned long) [22]
                0.03    0.00 24155484/34664590     mpcd::is_y_periodic(mpcd::SimulationParams const&) [37]
                0.00    0.03     801/801         mpcd::resize_weighted_real_fluid_deposit(mpcd::WeightedRealFluidDepositWorkspace&, unsigned long, int, int) [43]
                0.01    0.00     801/852682      mpcd::validate_particle_state(mpcd::ParticleState const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [3]
                0.00    0.00     400/212214      std::vector<unsigned char, std::allocator<unsigned char> >::_M_default_append(unsigned long) [9]
                0.00    0.00  423690/32033750     mpcd::particle_role_value(mpcd::ParticleState const&, unsigned long) [40]
                0.00    0.00     400/800         std::vector<unsigned long, std::allocator<unsigned long> >::_M_fill_assign(unsigned long, unsigned long const&) [94]
-----------------------------------------------
                0.00    0.29     200/200         mpcd::apply_q6_periodic_projection(mpcd::ParticleState&, mpcd::SimulationParams const&, mpcd::CellGrid const&, mpcd::FluidDomainBounds const&, double, mpcd::Q6ProjectionWorkspace&) [14]
[17]     2.1    0.00    0.29     200         mpcd::project_face_field(mpcd::EllipticProjectionGrid const&, mpcd::PeriodicFaceField const&, mpcd::PeriodicFaceField const&, std::vector<double, std::allocator<double> > const&, mpcd::EllipticProjectionParams const&, mpcd::EllipticProjectionBC const&, mpcd::EllipticProjectionWorkspace&, mpcd::EllipticProjectionMask const*) [17]
                0.23    0.00     800/800         mpcd::(anonymous namespace)::face_stats(mpcd::PeriodicFaceField const&) [21]
                0.00    0.04     600/1000        mpcd::compute_face_divergence(mpcd::EllipticProjectionGrid const&, mpcd::PeriodicFaceField const&, mpcd::EllipticProjectionBC const&, mpcd::EllipticProjectionMask const*) [31]
                0.03    0.00     400/1400        mpcd::(anonymous namespace)::require_grid(mpcd::EllipticProjectionGrid const&) [26]
                0.00    0.00     400/680317      std::vector<double, std::allocator<double> >::_M_fill_assign(unsigned long, double const&) [23]
                0.00    0.00  110978/110978      mpcd::compute_periodic_face_divergence(mpcd::EllipticProjectionGrid const&, mpcd::PeriodicFaceField const&) [77]
                0.00    0.00    4582/4582        mpcd::(anonymous namespace)::subtract_mean(std::vector<double, std::allocator<double> >&, mpcd::EllipticProjectionMask const*) [82]
                0.00    0.00    1000/2000        mpcd::(anonymous namespace)::require_mask(mpcd::EllipticProjectionMask const*, int, char const*) [84]
                0.00    0.00     800/800         mpcd::(anonymous namespace)::scalar_stats(std::vector<double, std::allocator<double> > const&, mpcd::EllipticProjectionMask const*) [93]
                0.00    0.00     600/1600        mpcd::(anonymous namespace)::require_face_size(mpcd::PeriodicFaceField const&, int, char const*) [88]
                0.00    0.00     400/453         std::vector<int, std::allocator<int> >::reserve(unsigned long) [97]
                0.00    0.00     200/217         mpcd::resize_elliptic_projection_workspace(mpcd::EllipticProjectionWorkspace&, int) [102]
                0.00    0.00       4/4           std::vector<int, std::allocator<int> >::_M_default_append(unsigned long) [136]
                0.00    0.00       4/9           std::vector<double, std::allocator<double> >::_M_default_append(unsigned long) [129]
-----------------------------------------------
                0.00    0.00       1/201         main [1]
                0.00    0.29     200/201         mpcd::run_src_mpcd_base_step(mpcd::ParticleState&, mpcd::SimulationParams const&, mpcd::CellGrid const&, unsigned long, mpcd::SrcMpcdBaseWorkspace&, bool) [2]
[18]     2.1    0.00    0.29     201         mpcd::apply_boundary_conditions(mpcd::ParticleState&, mpcd::SimulationParams const&, mpcd::FluidDomainBounds const&, unsigned long, double) [18]
                0.08    0.21     201/201         mpcd::(anonymous namespace)::apply_hard_inlet_reservoir_boundary(mpcd::ParticleState&, mpcd::SimulationParams const&, mpcd::FluidDomainBounds const&, unsigned long, double) [19]
                0.00    0.00     201/852682      mpcd::validate_particle_state(mpcd::ParticleState const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [3]
                0.00    0.00     201/7704602     mpcd::(anonymous namespace)::hard_inlet_reservoir_enabled(mpcd::SimulationParams const&) [27]
                0.00    0.00     804/1646        mpcd::is_outlet_boundary_mode(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [86]
                0.00    0.00     804/1643        mpcd::is_io_boundary_mode(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [87]
-----------------------------------------------
                0.08    0.21     201/201         mpcd::apply_boundary_conditions(mpcd::ParticleState&, mpcd::SimulationParams const&, mpcd::FluidDomainBounds const&, unsigned long, double) [18]
[19]     2.1    0.08    0.21     201         mpcd::(anonymous namespace)::apply_hard_inlet_reservoir_boundary(mpcd::ParticleState&, mpcd::SimulationParams const&, mpcd::FluidDomainBounds const&, unsigned long, double) [19]
                0.08    0.00 7704374/7704602     mpcd::(anonymous namespace)::hard_inlet_reservoir_enabled(mpcd::SimulationParams const&) [27]
                0.00    0.04     201/201         mpcd::(anonymous namespace)::build_hard_reservoir_cells(mpcd::SimulationParams const&, mpcd::FluidDomainBounds const&, double, unsigned int, double) [36]
                0.03    0.00 7921771/8179603     mpcd::(anonymous namespace)::append_particle(mpcd::ParticleState&, double, double, double, double, unsigned int, double, mpcd::ParticleRole) [41]
                0.02    0.00 30615134/30628338     mpcd::is_inlet_boundary_mode(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [44]
                0.01    0.00    6432/6432        mpcd::(anonymous namespace)::sample_hard_inlet_cell_particles(mpcd::ParticleState&, mpcd::SimulationParams const&, mpcd::FluidDomainBounds const&, mpcd::(anonymous namespace)::HardReservoirCell const&, unsigned long, unsigned long, std::vector<unsigned long, std::allocator<unsigned long> > const&, unsigned long&, mpcd::BoundaryDiagnostics&) [46]
                0.01    0.00 7704374/7704374     mpcd::(anonymous namespace)::reflect_y(double, double&, double&, double&, mpcd::SimulationParams const&, mpcd::FluidDomainBounds const&, unsigned long&, unsigned long&, unsigned long, unsigned long, double, mpcd::(anonymous namespace)::ReflectionFailure&) [48]
                0.01    0.00 7921771/8261072     mpcd::is_inactive_particle(mpcd::ParticleState const&, unsigned long) [49]
                0.01    0.00 7921771/32033750     mpcd::particle_role_value(mpcd::ParticleState const&, unsigned long) [40]
                0.00    0.00     201/852682      mpcd::validate_particle_state(mpcd::ParticleState const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [3]
                0.00    0.00     201/40713471     mpcd::is_x_periodic(mpcd::SimulationParams const&) [28]
                0.00    0.00     203/82754300     mpcd::is_fluid_particle(mpcd::ParticleState const&, unsigned long) [22]
                0.00    0.00     201/34664590     mpcd::is_y_periodic(mpcd::SimulationParams const&) [37]
                0.00    0.00      27/2920        mpcd::(anonymous namespace)::reflect_x_as_solid_face(double&, double&, double&, mpcd::SimulationParams const&, mpcd::FluidDomainBounds const&, char const*) [60]
                0.00    0.00 7921771/31610060     mpcd::is_fluid_role(unsigned char) [69]
                0.00    0.00  215579/215579      mpcd::(anonymous namespace)::point_in_inlet_reservoir(double, double, mpcd::SimulationParams const&, mpcd::FluidDomainBounds const&)::{lambda(char const*)#1}::operator()(char const*) const [76]
                0.00    0.00    1005/1005        std::vector<double, std::allocator<double> >::reserve(unsigned long) [91]
                0.00    0.00     831/1646        mpcd::is_outlet_boundary_mode(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [86]
                0.00    0.00     831/1643        mpcd::is_io_boundary_mode(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [87]
-----------------------------------------------
                                8911             mpcd::cell_index_from_position(double, double, mpcd::CellGrid const&, mpcd::GridShift const&, mpcd::SimulationParams const&) [20]
                0.06    0.01 1575113/6394483     std::vector<double, std::allocator<double> >::_M_fill_assign(unsigned long, double const&) [23]
                0.20    0.02 4819370/6394483     std::vector<unsigned char, std::allocator<unsigned char> >::_M_default_append(unsigned long) [9]
[20]     2.0    0.26    0.02 6394483+8911    mpcd::cell_index_from_position(double, double, mpcd::CellGrid const&, mpcd::GridShift const&, mpcd::SimulationParams const&) [20]
                0.01    0.00 7099507/40713471     mpcd::is_x_periodic(mpcd::SimulationParams const&) [28]
                0.01    0.00 6857308/34664590     mpcd::is_y_periodic(mpcd::SimulationParams const&) [37]
                0.00    0.00    8816/82754300     mpcd::is_fluid_particle(mpcd::ParticleState const&, unsigned long) [22]
                                8911             mpcd::cell_index_from_position(double, double, mpcd::CellGrid const&, mpcd::GridShift const&, mpcd::SimulationParams const&) [20]
-----------------------------------------------
                0.23    0.00     800/800         mpcd::project_face_field(mpcd::EllipticProjectionGrid const&, mpcd::PeriodicFaceField const&, mpcd::PeriodicFaceField const&, std::vector<double, std::allocator<double> > const&, mpcd::EllipticProjectionParams const&, mpcd::EllipticProjectionBC const&, mpcd::EllipticProjectionWorkspace&, mpcd::EllipticProjectionMask const*) [17]
[21]     1.6    0.23    0.00     800         mpcd::(anonymous namespace)::face_stats(mpcd::PeriodicFaceField const&) [21]
-----------------------------------------------
                0.00    0.00     203/82754300     mpcd::(anonymous namespace)::apply_hard_inlet_reservoir_boundary(mpcd::ParticleState&, mpcd::SimulationParams const&, mpcd::FluidDomainBounds const&, unsigned long, double) [19]
                0.00    0.00    8816/82754300     mpcd::cell_index_from_position(double, double, mpcd::CellGrid const&, mpcd::GridShift const&, mpcd::SimulationParams const&) [20]
