step,liquidParticles,liquidMass,liquidX50,liquidX90,liquidX99,liquidXMax,liquidY10,liquidY50,liquidY90,downstreamParticles,downstreamY10,downstreamY90,downstreamWidth80,wetComponents,coreComponents,detachedComponents,largestDetachedCells,largestDetachedParticles,meanLiquidVx,meanLiquidVy
0,3456,3456.0,0.0703125,0.126708984375,0.139404296875,0.140380859375,0.762451171875,0.7813573113347715,0.800048828125,0,nan,nan,nan,1,1,0,0,0,0.0,0.0
250,8572,8572.0,0.1971968884790654,0.2913259822673921,0.31489911190922865,0.3253655072612794,0.7596041628166562,0.7838486585877269,0.8127779923698403,0,nan,nan,nan,1,1,0,0,0,0.1513402354497853,0.00473131934977362
500,13651,13651.0,0.37640202143051865,0.49052854884333325,0.515441979937728,0.5279854174983998,0.7602698483055678,0.786505105523873,0.8362411993115179,4300,0.7545749282472018,0.8618192526506303,0.10724432440342846,1,1,0,0,0,0.15912417919801175,0.007984235849328556
750,18623,18623.0,0.5328011471377561,0.683784516505728,0.7129215546808334,0.7246085466242328,0.767082773573201,0.7884692295228667,0.8841609565127454,10985,0.7653710392582491,0.9081625438451773,0.14279150458692813,1,1,0,0,0,0.15561943429159866,0.011092687613350003
1000,23525,23525.0,0.6876860225937945,0.8653424493053785,0.9000702055481635,0.9149890750301805,0.7670160116643424,0.7925539490019924,0.9171022816087392,15652,0.762433248414815,0.9307463534443905,0.16831310502957553,1,1,0,0,0,0.14983294190979746,0.0064711198795012565
1250,28482,28482.0,0.8188305454258759,1.0458078653411167,1.1050468580549881,1.1233471092393137,0.7684904799325383,0.7934960917927032,0.9238691343113926,20751,0.7702212700602012,0.9393165760556835,0.16909530599548228,1,1,0,0,0,0.14967961722595824,0.004594682802299078
1500,33227,33227.0,0.9657330708006433,1.2508816540442462,1.3172691061083626,1.3315804596939578,0.7708156313850913,0.7941338381987161,0.9056243252379956,25218,0.7731271468905838,0.9349583048685894,0.16183115797800562,1,1,0,0,0,0.151090306248476,0.004664340908500525
1750,38094,38094.0,1.1229943025856834,1.4559741667872241,1.5263414916324622,1.545537712963992,0.7734848575630723,0.7975499522335088,0.8993157773795258,29528,0.7773205143374211,0.9241170040130173,0.14679648967559622,3,1,1,10,194,0.154268480478004,0.006895729653508799
2000,36433,36433.0,1.0712325388645785,1.5322061099510158,1.5576413328021574,1.5624978467879758,0.7737701722628365,0.7993865906217358,0.9244676026506661,28247,0.7786130392929835,0.9403847582771305,0.161771718984147,6,1,4,13,194,0.14294425968297875,0.007142744042757195
2250,33683,33683.0,0.9157262833778252,1.5235488931565753,1.5589809512534112,1.5624902145166415,0.7723908884945491,0.796686538281286,0.8768623796461222,25175,0.777494746860622,0.8941810324051794,0.1166862855445574,10,1,8,1354,9855,0.1423149823153468,0.002814238346627136
2500,31644,31644.0,0.8637537656584642,1.4891275118319645,1.5566610525827773,1.562407182237872,0.7721726463854817,0.7961227082587504,0.8745201313753576,23329,0.7772384022875232,0.8891441257594408,0.11190572347191763,9,1,7,451,3342,0.13897307449764604,0.006814531661035174
2750,32970,32970.0,0.8740750340607475,1.5179452265409614,1.5575924221684394,1.562470987747732,0.7734231410731206,0.7979161512581426,0.8393942503737709,24623,0.7792970554658707,0.8627068604441183,0.08340980497824757,7,1,4,22,362,0.14279204522746475,0.007554006424561672
3000,31683,31683.0,0.8702396880845074,1.495369338296354,1.5577884565814675,1.56243705586806,0.7696542599470614,0.7950893093019002,0.8441603415697135,23143,0.7777320199436111,0.8503326278065044,0.07260060786289335,8,1,6,28,401,0.14298210604845102,0.005791520643603557
3250,31431,31431.0,0.8461204046433681,1.5012760427780873,1.5572216667344332,1.5624847505033392,0.7671162006647079,0.7906555114666746,0.8497262874038055,23016,0.7711678183183386,0.8601272320402666,0.08895941372192806,21,1,17,54,460,0.14089262692966636,0.0033797636495984463
3500,31643,31643.0,0.8232359874464071,1.4522563341690335,1.556958534831011,1.5624787052359796,0.7645465150775892,0.7874831147264324,0.8361116170050349,23057,0.7653451946641143,0.8502664774520011,0.0849212827878868,27,1,21,39,373,0.14147253460251016,0.004764518580056405
