step,liquidParticles,liquidMass,liquidX50,liquidX90,liquidX99,liquidXMax,liquidY10,liquidY50,liquidY90,downstreamParticles,downstreamY10,downstreamY90,downstreamWidth80,wetComponents,coreComponents,detachedComponents,largestDetachedCells,largestDetachedParticles,meanLiquidVx,meanLiquidVy
0,3456,3456.0,0.0703125,0.126708984375,0.139404296875,0.140380859375,0.762451171875,0.7813573113347715,0.800048828125,0,nan,nan,nan,1,1,0,0,0,0.0,0.0
250,8586,8586.0,0.19908205272291662,0.28267262482163413,0.303487278987834,0.31284304505363303,0.7551716971394709,0.7822289426795375,0.8125494576832197,0,nan,nan,nan,1,1,0,0,0,0.14864007635239995,0.0024534485766064644
500,13556,13556.0,0.3711351037319436,0.47475961996166466,0.49654413505932987,0.5045707665692571,0.7478912143884178,0.7821181027696873,0.8368947395984361,3990,0.738924850503658,0.8534529935303078,0.11452814302664982,1,1,0,0,0,0.1555775021057842,0.004256828251922819
750,18646,18646.0,0.5357452088339469,0.6626454132912267,0.6888197001282189,0.7004504067773121,0.7364669409138634,0.7814851713636269,0.8641755969229958,10944,0.7209090271190031,0.8920072536286086,0.1710982265096055,1,1,0,0,0,0.15950343292001457,0.0007389120534893115
1000,17980,17980.0,0.52975574457667,0.7671184858653637,0.7785786133005594,0.7812388529380805,0.7561214234814724,0.7843759419006419,0.8790484040636144,10499,0.7210971325002414,0.9093640123728293,0.18826687987258783,2,1,0,0,0,0.15215364677724308,-0.0020048348316291705
1250,14424,14424.0,0.39869096318315556,0.7561118854082437,0.7776677666628511,0.7812497246118723,0.7686408564638917,0.7844793431404463,0.7994734392398466,6638,0.7691022444200415,0.802830327518537,0.03372808309849551,8,1,6,45,468,0.16198824591002536,0.0019656617336978534
1500,13854,13854.0,0.35388216263625716,0.7206808805304603,0.7777223067851071,0.7812144170478708,0.7681980700539457,0.7838419210678658,0.7987078781724183,5330,0.7739639592491527,0.7956457380114722,0.02168177876231947,6,1,3,7,44,0.16424947853809607,-0.0015173540120378124
1750,14728,14728.0,0.37676854742431554,0.7125645606660288,0.7760927451157249,0.7812353659668052,0.7654266944127064,0.7827443827688707,0.7997589018978009,6350,0.7716191003011297,0.8018498607347793,0.030230760433649584,4,1,2,4,34,0.15848457923316023,-0.0006506183487321252
1800,14951,14951.0,0.3786942942155921,0.7197469727270668,0.7767299547876796,0.7811562645878005,0.7648234176873744,0.7828017561998676,0.7999649980222018,6481,0.7688767082520028,0.8021969656664519,0.033320257414449106,8,1,2,2,43,0.15874889593744895,-0.0005170989623797975
