step,liquidParticles,liquidMass,liquidX50,liquidX90,liquidX99,liquidXMax,liquidY10,liquidY50,liquidY90,downstreamParticles,downstreamY10,downstreamY90,downstreamWidth80,wetComponents,coreComponents,detachedComponents,largestDetachedCells,largestDetachedParticles,meanLiquidVx,meanLiquidVy
0,3456,3456.0,0.0703125,0.126708984375,0.139404296875,0.140380859375,0.762451171875,0.7813573113347715,0.800048828125,0,nan,nan,nan,1,1,0,0,0,0.0,0.0
250,8586,8586.0,0.1991505512295645,0.2861352570665642,0.3071970257540212,0.31670558356858963,0.7574845547769319,0.782353943893811,0.8124354862456611,0,nan,nan,nan,2,1,0,0,0,0.15145887556164164,0.005101435149009257
500,13501,13501.0,0.3773518490623996,0.48314556061330693,0.5125254481862481,0.5241851533378796,0.7605123009650264,0.7868655097999406,0.8368425957754749,4184,0.7466682951824245,0.8535602457015173,0.10689195051909284,1,1,0,0,0,0.15702179088708912,0.00846671210476381
750,18707,18707.0,0.5223084914858279,0.6891863237202769,0.7321507145601047,0.7486795145972914,0.7645352769951635,0.7883844861505249,0.870170405509028,10829,0.7600394393637466,0.8905425185079595,0.13050307914421289,1,1,0,0,0,0.16544564857130953,0.010994227734584796
1000,26092,26092.0,0.6879651696714075,0.7653757875828026,0.7781555340187472,0.7812475881474235,0.7200839481527807,0.7890717652959077,0.9399089585368693,18366,0.6891472263623111,0.9700393729922242,0.28089214662991313,4,1,1,2,4,0.07936696469313523,0.008627572388519116
1250,38308,38308.0,0.6653649803683712,0.754803925565446,0.7760781301840557,0.7812307159794997,0.5318874342992872,0.7902862852066048,1.068675435664335,30478,0.499392697981819,1.080549747984648,0.5811570500028289,6,1,3,60,789,0.03500240991374237,0.0038539390839262694
1500,43382,43382.0,0.6435563804544463,0.7575899076514239,0.7765160243753239,0.7812422944132981,0.388221682949346,0.7855668995135537,1.1612047489662878,35129,0.35966657757482,1.1773608654838634,0.8176942879090434,16,1,14,1648,11709,0.04096888783676859,-0.0005572515537466791
1750,53377,53377.0,0.6565481317129452,0.7615701265425265,0.7777042642203301,0.7812400605203283,0.25934324799641223,0.7794955012231002,1.2318797835282833,45028,0.2411537132442306,1.2509545267685618,1.0098008135243313,14,1,9,2389,16383,0.025819604044056664,-0.0023960470842551507
1800,55519,55519.0,0.6536264182922705,0.7585827563549009,0.7770716709516354,0.7812409361689222,0.23130229792433082,0.7789410630986532,1.2436618117957587,47124,0.2115304951529648,1.2635018799053237,1.0519713847523589,12,1,9,2517,17297,0.02448296124068467,-0.0021405068930494533
