step,liquidParticles,liquidMass,liquidX50,liquidX90,liquidX99,liquidXMax,liquidY10,liquidY50,liquidY90,downstreamParticles,downstreamY10,downstreamY90,downstreamWidth80,wetComponents,coreComponents,detachedComponents,largestDetachedCells,largestDetachedParticles,meanLiquidVx,meanLiquidVy
0,3456,3456.0,0.0703125,0.126708984375,0.139404296875,0.140380859375,0.762451171875,0.7813573113347715,0.800048828125,0,nan,nan,nan,1,1,0,0,0,0.0,0.0
250,8533,8533.0,0.19811979807179525,0.2864653145593553,0.3081055407931091,0.31612973723362675,0.7576229222451983,0.7825795984080227,0.8105224506620284,0,nan,nan,nan,1,1,0,0,0,0.14849146159970172,0.003054188352596064
500,13514,13514.0,0.3706108580755438,0.4736748371465677,0.5036826855836322,0.5135732403752146,0.7491002222022546,0.7853573587593048,0.8416113909907115,3655,0.7303851279283392,0.8401116065844623,0.10972647865612306,1,1,0,0,0,0.15079030082604736,0.006479248199407605
750,18605,18605.0,0.5076556203605475,0.6669235745366133,0.6970342672626125,0.7067783399502774,0.7536619542969115,0.7852381292331747,0.8645857483742011,10318,0.7373801768750986,0.8800576714292888,0.1426774945541902,2,1,0,0,0,0.15459763293531328,0.004987339322837466
1000,19189,19189.0,0.5323773856363705,0.7672068837668324,0.7787716138374622,0.7812495698943209,0.7621989883809287,0.7853248532795402,0.8714107240766016,11372,0.7510672112825416,0.9173743640547775,0.16630715277223584,2,1,1,5,44,0.14250010292825657,0.003344345178883393
1250,16618,16618.0,0.46908665860689747,0.7665166385862399,0.7782357799325105,0.7812293193295584,0.7635469227646754,0.7839092504738954,0.8066357669785194,8844,0.7448111243257798,0.9022515521199002,0.15744042779412037,9,1,8,159,1210,0.1462486725976622,0.0013396834524561812
1500,15225,15225.0,0.40605695654264723,0.7627368151612641,0.7789946100509095,0.7812492600151841,0.7640972185291173,0.7826976133263736,0.7995838453959694,7080,0.6881699052607566,0.8039464644957426,0.11577655923498598,12,1,9,32,222,0.15200383133448978,-0.004541299488334468
1750,15368,15368.0,0.40992541127759285,0.7258672428520919,0.7777172656821475,0.7811782395885989,0.7650276777143116,0.7824688746810431,0.7992395853787323,7057,0.669257419298292,0.798570361072562,0.12931294177427,14,1,9,14,179,0.15167855081682083,-0.0031570366692618675
1800,15563,15563.0,0.41976460329240833,0.7257462627145657,0.7775127180675543,0.7812290856499081,0.7658038521637465,0.7830533187505755,0.8003554137588694,7422,0.7451570611926435,0.8003634862909976,0.05520642509835416,13,1,7,12,179,0.1521121554591037,-0.0024107898612147887
