step,liquidParticles,liquidMass,liquidX50,liquidX90,liquidX99,liquidXMax,liquidY10,liquidY50,liquidY90,downstreamParticles,downstreamY10,downstreamY90,downstreamWidth80,wetComponents,coreComponents,detachedComponents,largestDetachedCells,largestDetachedParticles,meanLiquidVx,meanLiquidVy
0,3456,3456.0,0.0703125,0.126708984375,0.139404296875,0.140380859375,0.762451171875,0.7813573113347715,0.800048828125,0,nan,nan,nan,1,1,0,0,0,0.0,0.0
500,13375,13375.0,0.3631059950041776,0.4895447361799743,0.5280337178543405,0.5396377800631376,0.7662749257683708,0.7884184997315168,0.8360813174288214,4060,0.7602543433618765,0.8453721134899642,0.08511777012808774,2,1,0,0,0,0.15590294133228633,0.011144484705161554
1000,23330,23330.0,0.6687733144183747,0.8510556777806965,0.8911787878782,0.9052407502770461,0.7706529256812925,0.7949043313870117,0.961107881189825,15359,0.7725762590135435,0.9772155206243256,0.20463926161078205,1,1,0,0,0,0.15218130750844203,0.02036695414115947
1500,33459,33459.0,0.9552486562171895,1.1808654090619346,1.2198630350794746,1.231715502105829,0.779332964664404,0.8074420893657432,1.0756591325472271,25181,0.7886790224233539,1.0851558363767069,0.296476813953353,2,1,1,7,48,0.14103478781748993,0.019461008779132625
2000,43043,43043.0,1.1745267105127357,1.5104709727574857,1.550357834975294,1.562439200568698,0.7799058691428967,0.8237741934106814,1.156638807121745,34438,0.7964936636117165,1.1701029561142027,0.3736092925024862,4,1,2,10,56,0.13499706898116415,0.022557020115534777
2500,36766,36766.0,1.0072884704182874,1.4853337261212525,1.5562166115277738,1.5624228367521575,0.7829358737075776,0.8361002422618478,1.2148836357225234,28379,0.8046246692773864,1.2427257410949302,0.43810107181754376,6,1,3,1364,9461,0.12973565363621667,0.015401405314693624
3000,36166,36166.0,0.9762769152092463,1.4728326543715808,1.5563942232219938,1.5624919942894042,0.7825954725625538,0.8451152561268449,1.3075371270397005,27313,0.814030756516702,1.313747242745431,0.4997164862287291,7,1,4,1156,7913,0.12820943150288502,0.01824498610656177
