step,liquidParticles,liquidMass,liquidX50,liquidX90,liquidX99,liquidXMax,liquidY10,liquidY50,liquidY90,downstreamParticles,downstreamY10,downstreamY90,downstreamWidth80,wetComponents,coreComponents,detachedComponents,largestDetachedCells,largestDetachedParticles,meanLiquidVx,meanLiquidVy
0,3456,3456.0,0.0703125,0.126708984375,0.139404296875,0.140380859375,0.762451171875,0.7813573113347715,0.800048828125,0,nan,nan,nan,1,1,0,0,0,0.0,0.0
250,8632,8632.0,0.19575539634190142,0.2860640983382159,0.3087102734413552,0.31694085774273617,0.7579185131447609,0.7832308183320158,0.811270133145723,0,nan,nan,nan,1,1,0,0,0,0.1504872965107141,0.0033513916914666127
500,13545,13545.0,0.375261819937411,0.48852159918160293,0.519569571812234,0.5278239645441325,0.7606912394219085,0.7853108222502971,0.8318565853871404,4219,0.7538176725922671,0.8482420876609484,0.09442441506868138,1,1,0,0,0,0.158767787118913,0.004115383056993711
750,18664,18664.0,0.5037916767141377,0.7011566506814795,0.7292841831771849,0.7412441780843627,0.7645340372045597,0.7865354014202313,0.8531221694515583,10418,0.7579665394314821,0.8757148212193699,0.11774828178788788,1,1,0,0,0,0.16750634271090775,0.0062690588136493815
1000,27979,27979.0,0.6921637619851402,0.7581191861781278,0.7764014925472633,0.7812311638888607,0.6855471580656152,0.786876326410777,0.9847892395762966,20158,0.6579417408083894,1.0137260133267683,0.35578427251837885,10,1,6,14,73,0.06398783543757047,0.015108866528081768
1250,42390,42390.0,0.6414398478004004,0.7604853388843502,0.777428791909004,0.7812366407897152,0.49335716751926956,0.7897874559484377,1.2821987727371518,34718,0.46709106897925,1.2955773567052942,0.8284862877260442,132,1,32,1221,9267,-0.005379476589875862,0.01702964273588493
1500,66737,66737.0,0.5589637365786263,0.7518987223918353,0.7774179046872913,0.7812462656199533,0.29129828789817974,0.8963038745278895,1.4468697864644513,56565,0.27062714285503736,1.4568491094187992,1.1862219665637619,188,1,90,2453,22058,-0.033692063962780114,-0.018258434858615336
