case,role,gamma,rotationAngleDeg,rotationAngleRad,targetLambdaMeanOverCell,dt,cellSize,Nx,Ny,Lx,Ly,kBT,particleMass,vMeanThermal2D,fGamma,qCollision,viscositySRDKinematic,viscositySRDKinetic,viscositySRDCollisional,tgPhysicalTime,tgSteps,soundPhysicalTime,soundSteps,soundReplicates,msdPhysicalTime,msdSteps,nominalParticleCount,estimatedParticleSteps,nominalPhysicalTimeAggregate
A0,historical_90deg_reference,20,90.0,1.5707963267948966,0.22687409291590604,0.002,0.00390625,64,64,0.25,0.25,0.125,1.0,0.44311346272637897,0.9500000001030576,0.9500000001030575,0.0007421516284977748,0.00013815789470829432,0.0006039937337894805,4.0,2000,2.4,1200,2,5.0,2500,81920,565248000,13.8
A1,increase_collision_angle,20,120.0,2.0943951023931953,0.48,0.004231421876608172,0.00390625,64,64,0.25,0.25,0.125,1.0,0.44311346272637897,0.9500000001030576,1.4250000001545862,0.0005349338980201178,0.00010671349026893146,0.0004282204077511863,4.0,946,2.4,568,2,5.0,1182,81920,267386880,13.8
A2,strong_backscattering_local_limit,20,150.0,2.6179938779914944,0.95,0.008374689130787007,0.00390625,64,64,0.25,0.25,0.125,1.0,0.44311346272637897,0.9500000001030576,1.772724133787525,0.000336266401192768,6.710592648703504e-05,0.00026916047470573295,4.0,478,2.4,287,2,5.0,598,81920,135168000,13.8
A3,mesoscopic_transition,20,165.0,2.8797932657906435,1.32,0.011636410160672475,0.00390625,64,64,0.25,0.25,0.125,1.0,0.44311346272637897,0.9500000001030576,1.8676295351772185,0.0002556312672786957,5.154652571697626e-05,0.00020408474156171944,4.0,344,2.4,207,2,5.0,430,81920,97320960,13.8
A4,near_pi_moderate_flight,20,175.0,3.0543261909900767,1.5,0.013223193364400539,0.00390625,64,64,0.25,0.25,0.125,1.0,0.44311346272637897,0.9500000001030576,1.8963849633928813,0.000227515452754708,4.51557071402859e-05,0.0001823597456144221,4.0,303,2.4,182,2,5.0,379,81920,85688320,13.8
A5,near_pi_extended_flight,20,175.0,3.0543261909900767,2.1,0.018512470710160756,0.00390625,64,64,0.25,0.25,0.125,1.0,0.44311346272637897,0.9500000001030576,1.8963849633928813,0.00019347495114955887,6.321798999640026e-05,0.00013025696115315862,4.0,217,2.4,130,2,5.0,271,81920,61276160,13.8
A6,near_pi_boundary_probe,20,175.0,3.0543261909900767,3.0,0.026446386728801077,0.00390625,64,64,0.25,0.25,0.125,1.0,0.44311346272637897,0.9500000001030576,1.8963849633928813,0.00018149128708778284,9.03114142805718e-05,9.117987280721106e-05,4.0,152,2.4,91,2,5.0,190,81920,42926080,13.8
